epoch	time	lr	train loss	train acc	testloss	test acc
0	11.6	0.01	1.44	52.4	0.971	70.7
1	3.02	0.01	0.722	74.7	0.798	74.7
2	2.93	0.01	0.608	76.9	0.672	78.1
3	3.01	0.01	0.535	79.1	0.692	78.7
4	3.18	0.01	0.497	80.2	0.615	79.8
5	3.19	0.01	0.473	80.6	0.576	80.3
6	3.01	0.01	0.451	81.3	0.576	80.4
7	3.11	0.01	0.439	81.4	0.581	80.9
8	3.24	0.01	0.423	82.0	0.57	81.5
9	3.17	0.01	0.415	81.9	0.601	81.0
10	3.12	0.01	0.406	82.3	0.548	82.0
11	3.37	0.01	0.395	82.5	0.574	80.9
12	3.08	0.01	0.384	82.7	0.535	82.2
13	3.23	0.01	0.38	82.9	0.585	81.5
14	3.2	0.01	0.375	82.9	0.562	81.8
15	3.21	0.01	0.364	83.3	0.553	82.2
16	3.15	0.01	0.362	83.3	0.553	82.1
17	3.32	0.01	0.354	83.4	0.541	82.4
18	3.19	0.01	0.353	83.4	0.509	82.9
19	3.1	0.01	0.346	83.7	0.528	82.6
20	3.12	0.01	0.341	83.7	0.562	82.5
21	4.95	0.01	0.338	83.8	0.511	82.8
22	3.07	0.01	0.332	83.8	0.524	83.3
23	3.23	0.01	0.332	83.9	0.5	83.0
24	3.12	0.01	0.325	84.0	0.501	83.2
25	3.13	0.01	0.324	84.2	0.533	82.7
26	3.19	0.01	0.32	84.3	0.515	83.2
27	5.13	0.01	0.311	84.1	0.512	83.0
28	3.14	0.01	0.311	84.1	0.505	83.3
29	3.12	0.01	0.308	84.3	0.51	83.2
30	4.55	0.01	0.307	84.3	0.505	82.9
31	3.26	0.0001	0.284	84.8	0.489	84.0
32	3.22	0.001	0.278	85.1	0.509	83.4
33	3.23	0.001	0.277	85.0	0.49	83.6
34	3.11	0.001	0.271	85.3	0.497	84.2
35	3.12	0.001	0.271	85.1	0.488	83.8
36	3.1	0.001	0.271	85.2	0.492	83.9
37	3.18	0.001	0.269	85.3	0.499	83.8
38	3.13	0.001	0.269	85.3	0.487	84.1
39	3.14	0.001	0.266	85.3	0.484	84.3
40	3.29	0.001	0.267	85.2	0.487	83.7
41	3.38	0.001	0.268	85.2	0.485	83.7
42	3.2	0.001	0.265	85.2	0.492	83.8
43	3.3	0.001	0.264	85.4	0.487	83.8
44	3.14	0.001	0.264	85.4	0.482	84.1
45	3.31	0.001	0.262	85.5	0.487	83.9
46	3.27	0.001	0.262	85.2	0.481	84.4
47	3.53	0.001	0.262	85.3	0.478	84.0
48	3.19	0.001	0.261	85.5	0.488	84.1
49	3.35	0.001	0.26	85.4	0.475	84.1
50	3.07	0.001	0.257	85.3	0.495	83.7
51	3.1	0.001	0.258	85.4	0.494	84.1
52	3.51	0.001	0.258	85.3	0.48	84.2
53	5.05	0.001	0.256	85.3	0.496	83.8
54	5.11	0.001	0.257	85.4	0.481	84.0
55	5.04	0.001	0.258	85.6	0.492	83.8
56	5.32	0.001	0.256	85.5	0.483	84.2
57	5.34	0.001	0.255	85.6	0.482	84.3
58	4.68	0.001	0.255	85.3	0.481	84.6
59	3.42	0.001	0.254	85.2	0.487	84.2
60	5.36	0.001	0.254	85.5	0.487	84.0
61	5.29	1e-05	0.253	85.6	0.476	84.5
62	5.67	0.0001	0.25	85.6	0.477	84.4
63	5.54	0.0001	0.25	85.6	0.478	84.4
64	5.53	0.0001	0.249	85.6	0.484	84.3
65	4.42	0.0001	0.25	85.7	0.48	84.1
66	4.56	0.0001	0.248	85.7	0.479	84.4
67	5.37	0.0001	0.249	85.6	0.499	83.9
68	5.43	0.0001	0.249	85.6	0.474	84.2
69	5.47	0.0001	0.249	85.5	0.483	84.5
70	5.49	0.0001	0.249	85.7	0.491	84.6
71	5.51	0.0001	0.249	85.6	0.484	84.3
72	3.29	0.0001	0.248	85.7	0.475	84.2
73	4.89	0.0001	0.248	85.7	0.478	84.4
74	5.46	0.0001	0.248	85.6	0.49	84.1
75	5.48	0.0001	0.248	85.5	0.486	84.2
76	5.33	0.0001	0.248	85.7	0.481	84.0
77	5.65	0.0001	0.248	85.6	0.485	84.0
78	5.71	0.0001	0.248	85.6	0.487	84.4
79	4.32	0.0001	0.248	85.7	0.494	83.9
80	5.47	0.0001	0.247	85.6	0.489	84.3
81	5.49	0.0001	0.248	85.5	0.479	84.3
82	5.41	0.0001	0.246	85.5	0.48	84.3
83	5.33	0.0001	0.248	85.6	0.474	84.4
84	5.59	0.0001	0.247	85.6	0.483	84.7
85	3.43	0.0001	0.247	85.6	0.493	83.9
86	5.59	0.0001	0.248	85.6	0.483	84.3
87	5.6	0.0001	0.248	85.6	0.49	84.2
88	5.35	0.0001	0.247	85.7	0.488	84.4
89	5.68	0.0001	0.247	85.5	0.48	84.0
