idx	label	predict	radius	correct	time
0	9	9	0.0467	1	0:00:00.363171
1	2	2	1.78	1	0:00:00.346575
2	1	1	3.57	1	0:00:00.346777
3	1	1	3.02	1	0:00:00.345955
4	6	-1	0.0	0	0:00:00.347061
5	1	1	3.01	1	0:00:00.345946
6	4	-1	0.0	0	0:00:00.347194
7	6	-1	0.0	0	0:00:00.345542
8	5	5	1.61	1	0:00:00.346529
9	7	7	1.89	1	0:00:00.345507
10	4	4	0.257	1	0:00:00.345679
11	5	5	1.31	1	0:00:00.346532
12	7	7	0.0983	1	0:00:00.345975
13	3	3	2.83	1	0:00:00.355059
14	4	4	2.53	1	0:00:00.347619
15	1	1	2.16	1	0:00:00.346323
16	2	2	1.25	1	0:00:00.346480
17	4	2	1.14	0	0:00:00.345884
18	8	8	2.13	1	0:00:00.346768
19	0	0	2.94	1	0:00:00.346197
20	2	2	1.09	1	0:00:00.345859
21	5	7	1.93	0	0:00:00.348576
22	7	7	3.03	1	0:00:00.346309
23	9	7	0.749	0	0:00:00.346081
24	1	1	2.8	1	0:00:00.346393
25	4	2	0.816	0	0:00:00.349670
26	6	4	1.63	0	0:00:00.358045
27	0	3	0.348	0	0:00:00.353734
28	9	9	1.75	1	0:00:00.352710
29	3	-1	0.0	0	0:00:00.347091
30	8	8	3.81	1	0:00:00.345921
31	8	8	3.08	1	0:00:00.346896
32	3	3	1.86	1	0:00:00.346609
33	3	3	1.5	1	0:00:00.346497
34	8	8	3.74	1	0:00:00.346790
35	0	0	1.25	1	0:00:00.346313
36	7	7	3.01	1	0:00:00.349100
37	5	5	2.06	1	0:00:00.346290
38	7	7	3.57	1	0:00:00.346213
39	9	9	3.42	1	0:00:00.345535
40	6	0	3.19	0	0:00:00.346358
41	1	1	3.47	1	0:00:00.350547
42	3	-1	0.0	0	0:00:00.345729
43	7	9	1.58	0	0:00:00.346778
44	6	4	2.08	0	0:00:00.348150
45	7	5	1.46	0	0:00:00.346838
46	2	2	0.697	1	0:00:00.345873
47	1	1	1.48	1	0:00:00.347752
48	2	2	0.98	1	0:00:00.348946
49	2	4	0.75	0	0:00:00.348517
50	4	2	1.76	0	0:00:00.348112
51	4	2	1.34	0	0:00:00.348739
52	5	5	1.88	1	0:00:00.348050
53	8	8	2.01	1	0:00:00.351942
54	2	-1	0.0	0	0:00:00.353379
55	2	2	2.76	1	0:00:00.350637
56	8	8	3.74	1	0:00:00.348127
57	4	4	0.484	1	0:00:00.349182
58	8	8	3.35	1	0:00:00.349743
59	0	0	1.21	1	0:00:00.350055
60	7	7	2.54	1	0:00:00.350315
61	7	7	1.93	1	0:00:00.349840
62	8	8	3.42	1	0:00:00.350363
63	5	5	1.84	1	0:00:00.349843
64	1	1	3.57	1	0:00:00.353379
65	1	1	1.99	1	0:00:00.352597
66	2	-1	0.0	0	0:00:00.352863
67	3	3	0.896	1	0:00:00.353806
68	9	7	0.301	0	0:00:00.354636
69	8	8	3.81	1	0:00:00.353825
70	7	7	1.42	1	0:00:00.351346
71	0	0	0.684	1	0:00:00.351478
72	2	2	1.54	1	0:00:00.351721
73	6	-1	0.0	0	0:00:00.352129
74	2	4	2.67	0	0:00:00.352702
75	3	3	0.0892	1	0:00:00.351786
76	1	1	2.74	1	0:00:00.351256
77	2	2	2.49	1	0:00:00.350344
78	8	8	2.88	1	0:00:00.352136
79	4	4	1.2	1	0:00:00.349929
80	1	1	1.36	1	0:00:00.352294
81	8	8	3.41	1	0:00:00.350853
82	5	5	2.98	1	0:00:00.350562
83	9	9	3.62	1	0:00:00.348555
84	5	5	1.44	1	0:00:00.349123
85	0	0	2.79	1	0:00:00.346158
86	3	3	2.65	1	0:00:00.347702
87	2	4	1.4	0	0:00:00.346799
88	0	0	2.75	1	0:00:00.349601
89	6	2	1.96	0	0:00:00.346758
90	5	5	2.93	1	0:00:00.348826
91	3	3	0.198	1	0:00:00.347961
92	6	4	1.11	0	0:00:00.347895
93	7	7	3.11	1	0:00:00.347005
94	1	1	2.61	1	0:00:00.351335
95	8	8	3.36	1	0:00:00.347954
96	0	0	0.849	1	0:00:00.356699
97	1	1	1.69	1	0:00:00.352914
98	4	4	0.0471	1	0:00:00.353870
99	2	2	1.21	1	0:00:00.352017
100	3	3	0.342	1	0:00:00.353176
101	6	4	0.48	0	0:00:00.351017
102	7	7	1.8	1	0:00:00.354192
103	2	-1	0.0	0	0:00:00.353441
104	7	7	2.69	1	0:00:00.353745
105	8	8	1.77	1	0:00:00.352367
106	5	5	1.0	1	0:00:00.353028
107	9	9	0.728	1	0:00:00.353560
108	9	9	2.3	1	0:00:00.362423
109	4	4	1.9	1	0:00:00.364585
110	2	2	1.53	1	0:00:00.365964
111	5	5	1.41	1	0:00:00.362906
112	7	7	3.03	1	0:00:00.363857
113	0	0	2.83	1	0:00:00.363092
114	5	5	3.35	1	0:00:00.364957
115	2	2	3.45	1	0:00:00.363028
116	8	8	2.67	1	0:00:00.365474
117	6	2	0.0378	0	0:00:00.362418
118	7	7	2.98	1	0:00:00.365658
119	8	8	2.07	1	0:00:00.363107
120	0	8	0.578	0	0:00:00.364289
121	0	0	3.69	1	0:00:00.362780
122	9	5	0.0503	0	0:00:00.364804
123	9	9	3.47	1	0:00:00.369029
124	3	3	1.37	1	0:00:00.365148
125	0	0	3.26	1	0:00:00.363412
126	8	8	1.65	1	0:00:00.364963
127	4	4	2.47	1	0:00:00.363027
128	1	1	2.28	1	0:00:00.364834
129	5	5	2.84	1	0:00:00.362583
130	4	4	2.97	1	0:00:00.365637
131	1	1	3.09	1	0:00:00.363322
132	9	9	1.84	1	0:00:00.364570
133	1	1	2.6	1	0:00:00.363801
134	8	8	3.49	1	0:00:00.367690
135	6	2	0.232	0	0:00:00.364144
136	2	-1	0.0	0	0:00:00.362714
137	1	1	3.65	1	0:00:00.363074
138	2	2	0.617	1	0:00:00.364709
139	5	5	0.696	1	0:00:00.368947
140	1	1	2.9	1	0:00:00.366045
141	0	-1	0.0	0	0:00:00.369334
142	0	0	1.26	1	0:00:00.367527
143	0	0	3.39	1	0:00:00.366043
144	1	1	2.81	1	0:00:00.375551
145	6	6	0.876	1	0:00:00.365220
146	1	1	2.47	1	0:00:00.364649
147	6	3	1.04	0	0:00:00.363924
148	2	2	1.64	1	0:00:00.362828
149	2	4	1.12	0	0:00:00.365432
150	4	-1	0.0	0	0:00:00.362279
151	4	2	0.303	0	0:00:00.362531
152	1	1	1.28	1	0:00:00.362610
153	4	4	0.219	1	0:00:00.363369
154	5	5	2.18	1	0:00:00.363552
155	0	-1	0.0	0	0:00:00.363695
156	4	4	1.3	1	0:00:00.363123
157	7	7	1.65	1	0:00:00.362762
158	9	9	3.51	1	0:00:00.362661
159	3	3	2.62	1	0:00:00.363605
160	7	7	1.61	1	0:00:00.363663
161	2	2	0.73	1	0:00:00.365219
162	3	3	3.19	1	0:00:00.359779
163	9	5	0.509	0	0:00:00.358192
164	0	0	0.943	1	0:00:00.359736
165	9	9	3.4	1	0:00:00.359584
166	4	4	1.61	1	0:00:00.361775
167	7	9	0.234	0	0:00:00.360425
168	4	4	2.32	1	0:00:00.362371
169	2	2	1.62	1	0:00:00.361780
170	0	0	0.494	1	0:00:00.363617
171	5	5	2.03	1	0:00:00.360136
172	2	4	1.05	0	0:00:00.361291
173	1	1	3.28	1	0:00:00.361559
174	2	2	3.49	1	0:00:00.361620
175	1	1	0.733	1	0:00:00.360069
176	3	3	0.325	1	0:00:00.365142
177	0	0	2.98	1	0:00:00.362304
178	9	9	3.57	1	0:00:00.361320
179	1	1	2.87	1	0:00:00.361854
180	0	0	2.72	1	0:00:00.361447
181	9	9	2.47	1	0:00:00.361682
182	3	3	0.303	1	0:00:00.361683
183	6	8	0.644	0	0:00:00.362680
184	7	7	3.16	1	0:00:00.360226
185	9	9	3.59	1	0:00:00.361110
186	9	9	1.84	1	0:00:00.361791
