epoch	time	lr	train loss	train acc	testloss	test acc
0	29.9	0.01	0.823	0.0	1.12	65.5
1	28.9	0.01	0.604	0.0	1.11	67.7
2	34.1	0.01	0.563	0.0	1.18	69.3
3	30.9	0.01	0.541	0.0	1.18	70.8
4	29.9	0.01	0.527	0.0	1.17	70.8
5	33.8	0.01	0.516	0.0	1.18	70.8
6	30.2	0.01	0.509	0.0	1.19	70.7
7	31.3	0.01	0.501	0.0	1.26	70.8
8	32.2	0.01	0.496	0.0	1.17	71.5
9	28.5	0.01	0.492	0.0	1.27	71.8
10	33.3	0.01	0.488	0.0	1.21	72.2
11	29.3	0.01	0.482	0.0	1.25	72.9
12	35.5	0.01	0.48	0.0	1.28	71.5
13	32.9	0.01	0.477	0.0	1.2	72.5
14	28.1	0.01	0.476	0.0	1.37	71.3
15	31.4	0.01	0.472	0.0	1.32	71.8
16	32.0	0.01	0.47	0.0	1.33	72.4
17	32.1	0.01	0.469	0.0	1.34	71.6
18	34.0	0.01	0.466	0.0	1.29	73.0
19	33.3	0.01	0.464	0.0	1.3	72.6
20	31.6	0.01	0.464	0.0	1.31	73.1
21	28.6	0.01	0.462	0.0	1.32	72.3
22	35.0	0.01	0.462	0.0	1.27	73.5
23	31.1	0.01	0.459	0.0	1.35	73.0
24	32.8	0.01	0.457	0.0	1.29	72.9
25	32.0	0.01	0.456	0.0	1.32	73.1
26	30.0	0.01	0.455	0.0	1.36	73.2
27	31.8	0.01	0.454	0.0	1.34	72.7
28	31.5	0.01	0.454	0.0	1.39	72.4
29	32.0	0.01	0.453	0.0	1.33	73.0
30	39.1	0.01	0.451	0.0	1.36	73.5
31	52.8	0.0001	0.689	0.0	1.7	72.4
32	47.3	0.001	0.676	0.0	1.65	70.2
33	37.9	0.001	0.654	0.0	1.53	70.5
34	40.8	0.001	0.65	0.0	1.36	71.4
35	33.9	0.001	0.649	0.0	1.42	71.6
36	44.0	0.001	0.642	0.0	1.31	70.6
37	42.6	0.001	0.639	0.0	1.41	71.6
38	44.6	0.001	0.658	0.0	1.42	70.0
39	40.1	0.001	0.643	0.0	1.36	72.5
40	39.8	0.001	0.636	0.0	1.62	71.3
41	58.2	0.001	0.65	0.0	1.49	71.8
42	55.5	0.001	0.647	0.0	1.42	72.1
43	49.2	0.001	0.635	0.0	1.66	70.8
44	55.2	0.001	0.634	0.0	1.44	71.0
45	49.2	0.001	0.636	0.0	1.54	70.3
46	44.3	0.001	0.63	0.0	1.44	71.3
47	43.8	0.001	0.65	0.0	1.39	71.2
48	41.8	0.001	0.631	0.0	1.76	70.0
49	45.8	0.001	0.639	0.0	1.35	72.2
50	52.8	0.001	0.633	0.0	1.41	71.5
51	46.2	0.001	0.634	0.0	1.46	71.8
52	39.9	0.001	0.633	0.0	1.65	71.1
53	35.9	0.001	0.636	0.0	1.55	71.7
54	42.4	0.001	0.634	0.0	1.51	71.4
55	42.6	0.001	0.646	0.0	1.41	72.4
56	54.2	0.001	0.635	0.0	1.54	72.7
57	38.6	0.001	0.642	0.0	1.4	70.6
58	34.5	0.001	0.646	0.0	1.58	71.2
59	39.7	0.001	0.634	0.0	1.51	72.0
60	42.2	0.001	0.643	0.0	1.57	71.7
61	45.7	1e-05	0.6	0.0	1.4	72.4
62	39.4	0.0001	0.59	0.0	1.34	72.7
63	38.8	0.0001	0.582	0.0	1.36	72.7
64	44.2	0.0001	0.582	0.0	1.37	73.0
65	49.3	0.0001	0.588	0.0	1.35	72.0
66	45.2	0.0001	0.589	0.0	1.33	72.5
67	47.6	0.0001	0.586	0.0	1.34	72.4
68	49.2	0.0001	0.576	0.0	1.35	72.1
69	36.3	0.0001	0.585	0.0	1.31	72.1
70	41.3	0.0001	0.58	0.0	1.32	72.1
71	39.7	0.0001	0.575	0.0	1.36	72.8
72	39.6	0.0001	0.576	0.0	1.31	72.7
73	40.1	0.0001	0.575	0.0	1.32	72.4
74	37.6	0.0001	0.574	0.0	1.31	72.2
75	41.4	0.0001	0.575	0.0	1.32	72.5
76	38.9	0.0001	0.577	0.0	1.34	72.7
77	43.5	0.0001	0.574	0.0	1.35	72.6
78	44.9	0.0001	0.575	0.0	1.36	72.4
79	39.3	0.0001	0.574	0.0	1.3	72.4
80	47.5	0.0001	0.578	0.0	1.33	72.7
81	37.8	0.0001	0.575	0.0	1.35	72.4
82	45.1	0.0001	0.577	0.0	1.29	72.7
83	46.2	0.0001	0.573	0.0	1.29	72.3
84	38.9	0.0001	0.571	0.0	1.33	73.1
85	40.3	0.0001	0.573	0.0	1.39	72.3
86	41.4	0.0001	0.568	0.0	1.3	72.5
87	39.3	0.0001	0.568	0.0	1.31	72.9
88	46.0	0.0001	0.567	0.0	1.32	73.2
89	42.1	0.0001	0.571	0.0	1.3	73.1
