idx	label	predict	radius	correct	time
0	9	9	0.383	1	0:00:00.364051
1	2	2	2.03	1	0:00:00.349713
2	1	1	3.51	1	0:00:00.349290
3	1	1	2.68	1	0:00:00.346522
4	6	6	0.0787	1	0:00:00.350199
5	1	1	2.84	1	0:00:00.348549
6	4	6	0.0566	0	0:00:00.348124
7	6	6	0.362	1	0:00:00.350200
8	5	5	1.16	1	0:00:00.349993
9	7	7	2.13	1	0:00:00.348285
10	4	-1	0.0	0	0:00:00.349973
11	5	5	1.07	1	0:00:00.351227
12	7	-1	0.0	0	0:00:00.348716
13	3	3	2.84	1	0:00:00.355502
14	4	4	1.87	1	0:00:00.348199
15	1	1	1.75	1	0:00:00.350011
16	2	2	1.19	1	0:00:00.349003
17	4	2	0.787	0	0:00:00.348983
18	8	8	2.14	1	0:00:00.349969
19	0	0	2.84	1	0:00:00.348947
20	2	2	1.18	1	0:00:00.346882
21	5	7	1.61	0	0:00:00.350422
22	7	7	2.8	1	0:00:00.347006
23	9	7	0.242	0	0:00:00.349242
24	1	1	2.54	1	0:00:00.347361
25	4	2	0.5	0	0:00:00.353882
26	6	4	1.05	0	0:00:00.354784
27	0	0	0.198	1	0:00:00.356529
28	9	9	1.72	1	0:00:00.356150
29	3	3	0.0158	1	0:00:00.351775
30	8	8	3.81	1	0:00:00.351063
31	8	8	2.71	1	0:00:00.350519
32	3	3	1.76	1	0:00:00.349118
33	3	3	1.66	1	0:00:00.350620
34	8	8	3.31	1	0:00:00.348864
35	0	0	1.07	1	0:00:00.353081
36	7	7	2.83	1	0:00:00.348396
37	5	5	1.68	1	0:00:00.350324
38	7	7	3.35	1	0:00:00.348790
39	9	9	3.45	1	0:00:00.350578
40	6	0	2.93	0	0:00:00.349874
41	1	1	3.55	1	0:00:00.352588
42	3	-1	0.0	0	0:00:00.347541
43	7	9	1.44	0	0:00:00.348456
44	6	4	1.37	0	0:00:00.348238
45	7	5	0.748	0	0:00:00.348126
46	2	2	1.1	1	0:00:00.346941
47	1	1	1.43	1	0:00:00.348225
48	2	2	0.692	1	0:00:00.347001
49	2	4	0.0395	0	0:00:00.347182
50	4	2	1.39	0	0:00:00.347298
51	4	2	1.13	0	0:00:00.347505
52	5	5	1.48	1	0:00:00.347423
53	8	8	1.92	1	0:00:00.356972
54	2	2	0.0467	1	0:00:00.354062
55	2	2	2.74	1	0:00:00.347099
56	8	8	3.62	1	0:00:00.346655
57	4	4	0.269	1	0:00:00.348220
58	8	8	3.45	1	0:00:00.350371
59	0	0	1.19	1	0:00:00.348821
60	7	7	2.56	1	0:00:00.348736
61	7	7	1.65	1	0:00:00.350160
62	8	8	3.27	1	0:00:00.351220
63	5	5	1.63	1	0:00:00.351115
64	1	1	3.59	1	0:00:00.350615
65	1	1	1.62	1	0:00:00.354026
66	2	-1	0.0	0	0:00:00.350768
67	3	3	0.974	1	0:00:00.352943
68	9	7	0.422	0	0:00:00.354155
69	8	8	3.81	1	0:00:00.348824
70	7	7	1.42	1	0:00:00.348812
71	0	0	0.761	1	0:00:00.348981
72	2	2	1.59	1	0:00:00.348700
73	6	-1	0.0	0	0:00:00.349231
74	2	4	1.79	0	0:00:00.354452
75	3	3	0.498	1	0:00:00.361553
76	1	1	2.84	1	0:00:00.351376
77	2	2	2.42	1	0:00:00.348694
78	8	8	2.58	1	0:00:00.350217
79	4	4	0.948	1	0:00:00.348659
80	1	1	0.955	1	0:00:00.352807
81	8	8	3.28	1	0:00:00.356324
82	5	5	2.79	1	0:00:00.352170
83	9	9	3.62	1	0:00:00.346937
84	5	5	1.5	1	0:00:00.350701
85	0	0	2.71	1	0:00:00.350185
86	3	3	2.32	1	0:00:00.351851
87	2	4	0.555	0	0:00:00.350424
88	0	0	2.7	1	0:00:00.351734
89	6	2	1.92	0	0:00:00.350178
90	5	5	2.62	1	0:00:00.351234
91	3	3	0.558	1	0:00:00.349985
92	6	4	0.563	0	0:00:00.353448
93	7	7	2.9	1	0:00:00.350362
94	1	1	2.46	1	0:00:00.353086
95	8	8	3.11	1	0:00:00.352193
96	0	0	0.696	1	0:00:00.352066
97	1	1	1.41	1	0:00:00.347915
98	4	2	0.149	0	0:00:00.349854
99	2	2	1.71	1	0:00:00.348696
100	3	3	0.78	1	0:00:00.350240
101	6	4	0.0713	0	0:00:00.348541
102	7	7	1.93	1	0:00:00.349879
103	2	-1	0.0	0	0:00:00.350049
104	7	7	2.55	1	0:00:00.350332
105	8	8	1.77	1	0:00:00.350100
106	5	5	1.21	1	0:00:00.351491
107	9	9	0.734	1	0:00:00.350479
108	9	9	2.2	1	0:00:00.355193
109	4	4	1.52	1	0:00:00.346995
110	2	2	1.28	1	0:00:00.348194
111	5	5	1.51	1	0:00:00.347876
112	7	7	2.89	1	0:00:00.350381
113	0	0	2.73	1	0:00:00.349543
114	5	5	3.01	1	0:00:00.351615
115	2	2	3.07	1	0:00:00.350140
116	8	8	2.58	1	0:00:00.351487
117	6	6	0.188	1	0:00:00.350548
118	7	7	2.91	1	0:00:00.351936
119	8	8	1.91	1	0:00:00.350013
120	0	8	0.215	0	0:00:00.352302
121	0	0	3.65	1	0:00:00.350304
122	9	-1	0.0	0	0:00:00.353059
123	9	9	3.46	1	0:00:00.356616
124	3	3	1.41	1	0:00:00.351912
125	0	0	3.22	1	0:00:00.353889
126	8	8	1.37	1	0:00:00.351735
127	4	4	1.57	1	0:00:00.353555
128	1	1	1.93	1	0:00:00.351842
129	5	5	1.83	1	0:00:00.353018
130	4	4	2.59	1	0:00:00.349759
131	1	1	2.89	1	0:00:00.354546
132	9	9	1.96	1	0:00:00.350064
133	1	1	2.36	1	0:00:00.351459
134	8	8	3.16	1	0:00:00.349341
135	6	-1	0.0	0	0:00:00.355415
136	2	2	0.00421	1	0:00:00.356648
137	1	1	3.57	1	0:00:00.351594
138	2	2	0.715	1	0:00:00.350746
139	5	5	0.679	1	0:00:00.350218
140	1	1	2.85	1	0:00:00.351815
141	0	0	0.503	1	0:00:00.350765
142	0	0	1.26	1	0:00:00.351872
143	0	0	3.38	1	0:00:00.350161
144	1	1	2.51	1	0:00:00.351209
145	6	6	0.751	1	0:00:00.349658
146	1	1	1.97	1	0:00:00.349583
147	6	3	1.12	0	0:00:00.349116
148	2	2	1.86	1	0:00:00.350070
149	2	4	0.452	0	0:00:00.348847
150	4	-1	0.0	0	0:00:00.352411
151	4	2	0.218	0	0:00:00.351534
152	1	1	1.37	1	0:00:00.349915
153	4	3	0.00707	0	0:00:00.349983
154	5	5	1.92	1	0:00:00.349907
155	0	-1	0.0	0	0:00:00.351188
156	4	4	0.886	1	0:00:00.349982
157	7	7	1.55	1	0:00:00.350367
158	9	9	3.36	1	0:00:00.350070
159	3	3	2.44	1	0:00:00.350055
160	7	7	1.49	1	0:00:00.349838
161	2	2	1.23	1	0:00:00.350073
162	3	3	2.86	1	0:00:00.351011
163	9	5	0.0912	0	0:00:00.353036
164	0	0	0.945	1	0:00:00.351426
165	9	9	3.36	1	0:00:00.350786
166	4	4	0.763	1	0:00:00.349374
167	7	9	0.149	0	0:00:00.349377
168	4	4	1.94	1	0:00:00.349940
169	2	2	1.82	1	0:00:00.349836
170	0	0	0.608	1	0:00:00.350038
171	5	5	1.64	1	0:00:00.350193
172	2	4	0.458	0	0:00:00.350175
173	1	1	3.04	1	0:00:00.349862
174	2	2	3.12	1	0:00:00.350012
