idx	label	predict	radius	correct	time
0	0	-1	0.0	0	0:00:36.443103
100	2	2	3.2	1	0:00:28.431084
200	4	-1	0.0	0	0:00:28.390906
300	6	69	1.47	0	0:00:28.461524
400	8	8	1.52	1	0:00:28.453703
500	10	10	3.81	1	0:00:28.417584
600	12	-1	0.0	0	0:00:28.483688
700	14	14	2.93	1	0:00:28.422781
800	16	16	1.66	1	0:00:28.441494
900	18	99	1.31	0	0:00:28.448266
1000	20	20	2.05	1	0:00:28.464796
1100	22	16	1.07	0	0:00:28.440966
1200	24	24	3.81	1	0:00:28.457085
1300	26	26	1.31	1	0:00:28.451974
1400	28	76	0.544	0	0:00:28.477524
1500	30	30	0.528	1	0:00:28.466510
1600	32	103	1.65	0	0:00:28.493570
1700	34	-1	0.0	0	0:00:28.442994
1800	36	35	1.89	0	0:00:28.462600
1900	38	44	1.57	0	0:00:28.494575
2000	40	-1	0.0	0	0:00:28.477874
2100	42	48	0.0698	0	0:00:28.465647
2200	44	44	1.14	1	0:00:28.517916
2300	46	40	3.55	0	0:00:28.509605
2400	48	58	0.377	0	0:00:28.453177
2500	50	-1	0.0	0	0:00:28.459284
2600	52	111	0.893	0	0:00:28.508419
2700	54	57	3.81	0	0:00:28.490265
2800	56	56	3.81	1	0:00:28.476701
2900	58	-1	0.0	0	0:00:28.489691
3000	60	62	1.99	0	0:00:28.466899
3100	62	61	0.533	0	0:00:28.447995
3200	64	64	2.28	1	0:00:28.461101
3300	66	-1	0.0	0	0:00:28.485481
3400	68	111	3.17	0	0:00:28.452628
3500	70	70	3.81	1	0:00:28.468119
3600	72	72	2.17	1	0:00:28.477894
3700	74	417	1.27	0	0:00:28.489965
3800	76	76	0.969	1	0:00:28.486415
3900	78	78	2.14	1	0:00:28.491275
4000	80	80	3.81	1	0:00:28.484701
4100	82	82	2.12	1	0:00:28.451410
4200	84	108	1.11	0	0:00:28.477298
4300	86	-1	0.0	0	0:00:28.473342
4400	88	88	0.294	1	0:00:28.515079
4500	90	90	0.952	1	0:00:28.473259
4600	92	14	0.487	0	0:00:28.483809
4700	94	94	1.39	1	0:00:28.465841
4800	96	96	3.81	1	0:00:28.474535
4900	98	-1	0.0	0	0:00:28.423177
5000	100	100	3.81	1	0:00:28.453290
5100	102	316	1.75	0	0:00:28.448385
5200	104	342	0.689	0	0:00:28.458556
5300	106	106	3.69	1	0:00:28.474005
5400	108	470	1.9	0	0:00:28.451108
5500	110	110	0.306	1	0:00:28.467774
5600	112	-1	0.0	0	0:00:28.457700
5700	114	113	0.625	0	0:00:28.496220
5800	116	116	3.13	1	0:00:28.475384
5900	118	118	0.211	1	0:00:28.461108
6000	120	-1	0.0	0	0:00:28.492498
6100	122	122	1.12	1	0:00:28.503467
6200	124	-1	0.0	0	0:00:28.461992
6300	126	307	0.35	0	0:00:28.487707
6400	128	128	3.81	1	0:00:28.467213
6500	130	-1	0.0	0	0:00:28.445244
6600	132	132	3.69	1	0:00:28.451592
6700	134	-1	0.0	0	0:00:28.461586
6800	136	136	3.81	1	0:00:28.453609
6900	138	138	1.52	1	0:00:28.491625
7000	140	140	3.81	1	0:00:28.474648
7100	142	135	0.484	0	0:00:28.478100
7200	144	331	2.7	0	0:00:28.440293
7300	146	-1	0.0	0	0:00:28.450133
7400	148	148	3.81	1	0:00:28.477940
7500	150	336	0.453	0	0:00:28.441780
7600	152	152	1.36	1	0:00:28.460776
7700	154	260	0.696	0	0:00:28.448792
7800	156	156	3.74	1	0:00:28.502690
7900	158	-1	0.0	0	0:00:28.489901
8000	160	160	2.34	1	0:00:28.497419
8100	162	162	1.74	1	0:00:28.489691
8200	164	217	0.898	0	0:00:28.450111
8300	166	162	0.984	0	0:00:28.484998
8400	168	739	0.456	0	0:00:28.491394
8500	170	-1	0.0	0	0:00:28.497236
8600	172	-1	0.0	0	0:00:28.509488
8700	174	254	1.04	0	0:00:28.503389
8800	176	176	2.51	1	0:00:28.498743
