epoch	time	lr	train loss	train acc	testloss	test acc
0	25.9	0.01	0.196	63.9	0.146	95.2
1	26.1	0.01	0.0657	81.5	0.113	96.6
2	27.1	0.01	0.0566	83.4	0.106	96.7
3	26.2	0.01	0.0515	84.3	0.103	96.8
4	26.2	0.01	0.049	84.9	0.0952	97.3
5	26.2	0.01	0.0475	85.3	0.0994	96.9
6	26.7	0.01	0.0456	85.5	0.0923	97.2
7	27.2	0.01	0.0439	86.0	0.0923	97.2
8	27.0	0.01	0.0432	86.1	0.0828	97.5
9	27.3	0.01	0.0427	86.3	0.08	97.6
10	27.1	0.01	0.0413	86.5	0.0821	97.5
11	27.3	0.01	0.0408	86.7	0.0831	97.6
12	27.6	0.01	0.0414	86.7	0.0835	97.5
13	27.4	0.01	0.0397	86.9	0.0791	97.7
14	27.6	0.01	0.0402	86.9	0.0823	97.6
15	27.5	0.01	0.0398	87.0	0.0862	97.4
16	27.4	0.01	0.0393	87.1	0.0917	97.3
17	27.7	0.01	0.0386	87.1	0.0797	97.6
18	27.5	0.01	0.0377	87.2	0.0757	97.8
19	27.6	0.01	0.0381	87.2	0.0929	97.1
20	27.5	0.01	0.0375	87.3	0.0769	97.7
21	27.6	0.01	0.0369	87.4	0.0883	97.1
22	27.8	0.01	0.0373	87.5	0.079	97.7
23	27.7	0.01	0.0368	87.5	0.0751	97.7
24	27.6	0.01	0.0369	87.6	0.0755	97.8
25	27.7	0.01	0.036	87.7	0.0747	97.7
26	27.8	0.01	0.036	87.7	0.0739	97.8
27	28.0	0.01	0.036	87.6	0.077	97.8
28	28.3	0.01	0.0355	87.7	0.07	98.0
29	27.7	0.01	0.035	87.7	0.0733	97.6
30	28.1	0.01	0.0356	87.8	0.0752	97.4
31	27.9	0.01	0.0347	87.9	0.077	97.6
32	28.0	0.01	0.0349	87.9	0.0745	97.8
33	27.7	0.01	0.035	87.9	0.0738	97.8
34	27.5	0.01	0.0347	87.9	0.0764	97.8
35	27.7	0.01	0.0347	88.0	0.0748	97.7
36	28.1	0.01	0.0347	87.9	0.0805	97.7
37	27.7	0.01	0.0347	88.0	0.0721	97.8
38	27.8	0.01	0.0341	88.2	0.0717	97.9
39	27.6	0.01	0.0342	88.2	0.0719	97.8
40	27.9	0.01	0.0343	88.0	0.0824	97.3
41	27.7	0.01	0.0333	88.2	0.0699	98.0
42	27.8	0.01	0.0334	88.2	0.0683	98.0
43	27.6	0.01	0.0336	88.2	0.0764	97.8
44	27.8	0.01	0.0337	88.2	0.0767	97.7
45	27.8	0.01	0.033	88.3	0.0733	97.9
46	27.5	0.01	0.0336	88.2	0.074	97.8
47	27.5	0.01	0.0327	88.3	0.0773	97.6
48	27.5	0.01	0.033	88.3	0.0757	97.7
49	27.5	0.01	0.0334	88.3	0.0719	97.9
50	27.4	0.01	0.033	88.3	0.0693	97.8
51	27.5	0.0001	0.0299	89.5	0.0657	98.0
52	27.2	0.001	0.029	89.7	0.064	98.1
53	27.5	0.001	0.0289	89.8	0.0629	98.1
54	27.3	0.001	0.0284	89.8	0.0628	98.1
55	27.5	0.001	0.0286	89.8	0.0631	98.1
56	27.5	0.001	0.0286	89.8	0.0637	98.0
57	27.2	0.001	0.0284	89.8	0.0622	98.0
58	27.6	0.001	0.0276	89.9	0.065	97.9
59	27.3	0.001	0.028	89.9	0.0633	98.1
60	27.1	0.001	0.0285	89.9	0.0659	98.1
61	27.6	0.001	0.0283	89.9	0.0621	98.2
62	27.6	0.001	0.0283	89.8	0.0626	98.1
63	27.5	0.001	0.028	89.9	0.0621	98.2
64	27.4	0.001	0.0277	89.9	0.0612	98.0
65	27.4	0.001	0.0282	90.0	0.0633	98.2
66	27.4	0.001	0.0285	89.8	0.0653	98.1
67	27.3	0.001	0.0282	89.9	0.0594	98.2
68	27.5	0.001	0.0278	90.0	0.0628	98.1
69	27.4	0.001	0.0282	89.9	0.0642	98.0
70	27.3	0.001	0.0282	90.0	0.0629	98.1
71	27.5	0.001	0.0284	89.9	0.0619	98.0
72	27.5	0.001	0.0285	90.0	0.0646	98.0
73	27.5	0.001	0.0277	90.0	0.063	98.1
74	27.4	0.001	0.0276	90.0	0.0625	98.1
75	27.2	0.001	0.0279	90.0	0.0607	98.2
76	27.5	0.001	0.0278	90.0	0.0645	98.0
77	27.5	0.001	0.0281	89.9	0.0624	98.1
78	27.4	0.001	0.0283	90.0	0.0606	98.2
79	27.4	0.001	0.0278	90.0	0.0641	98.2
80	27.4	0.001	0.0278	90.1	0.0619	98.0
81	27.5	0.001	0.0275	90.0	0.0646	98.0
82	27.5	0.001	0.0276	90.0	0.0629	98.1
83	27.5	0.001	0.0276	90.0	0.0652	98.0
84	27.6	0.001	0.0272	90.0	0.0605	98.2
85	27.2	0.001	0.0278	90.1	0.0624	98.2
86	27.5	0.001	0.0281	90.0	0.0604	98.3
87	27.3	0.001	0.0279	90.0	0.0619	98.3
88	27.3	0.001	0.028	90.0	0.0643	97.9
89	27.5	0.001	0.0271	90.0	0.0629	98.1
90	27.5	0.001	0.0277	90.0	0.0623	98.2
91	27.4	0.001	0.0271	90.1	0.0629	98.1
92	27.5	0.001	0.0277	90.1	0.0619	98.2
93	27.4	0.001	0.0277	90.1	0.0644	98.2
94	27.7	0.001	0.0274	90.0	0.0614	98.2
95	27.6	0.001	0.0275	90.0	0.0635	98.0
96	27.5	0.001	0.0278	90.1	0.0612	98.2
97	27.3	0.001	0.0276	90.1	0.0625	98.2
98	27.5	0.001	0.0275	90.1	0.0613	98.2
99	27.5	0.001	0.0274	90.1	0.0621	98.1
100	27.4	0.001	0.0274	90.0	0.0661	97.8
101	27.5	1e-05	0.0267	90.2	0.0639	98.0
102	27.6	0.0001	0.027	90.3	0.0598	98.1
103	27.4	0.0001	0.027	90.3	0.0621	98.2
104	27.7	0.0001	0.0269	90.3	0.0629	98.2
