idx	label	predict	radius	correct	time
0	7	7	2.96	1	0:00:00.360624
1	2	2	2.17	1	0:00:00.354408
2	1	1	2.79	1	0:00:00.363446
3	0	0	2.28	1	0:00:00.364795
4	4	4	1.61	1	0:00:00.365147
5	1	1	2.99	1	0:00:00.362298
6	4	4	1.28	1	0:00:00.361846
7	9	9	1.17	1	0:00:00.363982
8	5	5	0.557	1	0:00:00.373493
9	9	9	0.483	1	0:00:00.363263
10	0	0	2.9	1	0:00:00.363708
11	6	6	1.91	1	0:00:00.362000
12	9	9	1.14	1	0:00:00.367975
13	0	0	3.06	1	0:00:00.362083
14	1	1	3.07	1	0:00:00.362812
15	5	5	0.692	1	0:00:00.361505
16	9	9	0.76	1	0:00:00.364005
17	7	7	3.2	1	0:00:00.363695
18	3	3	1.49	1	0:00:00.362633
19	4	4	1.43	1	0:00:00.360744
20	9	9	0.594	1	0:00:00.363989
21	6	6	2.28	1	0:00:00.367423
22	6	6	2.0	1	0:00:00.368819
23	5	5	1.39	1	0:00:00.364137
24	4	4	0.698	1	0:00:00.365367
25	0	0	3.26	1	0:00:00.364161
26	7	7	1.86	1	0:00:00.364727
27	4	4	1.75	1	0:00:00.363145
28	0	0	2.63	1	0:00:00.365024
29	1	1	2.71	1	0:00:00.363530
30	3	3	2.15	1	0:00:00.365675
31	1	1	2.39	1	0:00:00.361670
32	3	3	2.77	1	0:00:00.362323
33	4	-1	0.0	0	0:00:00.361962
34	7	7	2.5	1	0:00:00.363448
35	2	2	2.84	1	0:00:00.362015
36	7	7	2.21	1	0:00:00.362303
37	1	1	3.0	1	0:00:00.363572
38	2	-1	0.0	0	0:00:00.366442
39	1	1	2.89	1	0:00:00.365633
40	1	1	2.34	1	0:00:00.360821
41	7	7	1.74	1	0:00:00.365093
42	4	4	1.7	1	0:00:00.363199
43	2	2	0.349	1	0:00:00.362543
44	3	3	0.507	1	0:00:00.360925
45	5	5	0.0568	1	0:00:00.364136
46	1	1	2.0	1	0:00:00.362103
47	2	2	0.993	1	0:00:00.364375
48	4	4	1.35	1	0:00:00.364377
49	4	4	2.34	1	0:00:00.363287
50	6	6	2.42	1	0:00:00.360809
51	3	3	2.41	1	0:00:00.364671
52	5	5	1.83	1	0:00:00.362560
53	5	5	0.382	1	0:00:00.362810
54	6	6	2.49	1	0:00:00.361482
55	0	0	2.1	1	0:00:00.363921
56	4	4	2.95	1	0:00:00.361144
57	1	1	2.81	1	0:00:00.362038
58	9	9	1.36	1	0:00:00.363277
59	5	5	0.558	1	0:00:00.362546
60	7	7	3.08	1	0:00:00.361113
61	8	8	0.639	1	0:00:00.369261
62	9	-1	0.0	0	0:00:00.367051
63	3	-1	0.0	0	0:00:00.365260
64	7	7	1.72	1	0:00:00.365500
65	4	-1	0.0	0	0:00:00.360908
66	6	6	1.28	1	0:00:00.362620
67	4	4	1.98	1	0:00:00.362864
68	3	3	1.93	1	0:00:00.363956
69	0	0	3.15	1	0:00:00.361763
70	7	7	3.26	1	0:00:00.364069
71	0	0	3.74	1	0:00:00.361450
72	2	2	1.66	1	0:00:00.362059
73	9	7	0.394	0	0:00:00.364437
74	1	1	2.78	1	0:00:00.365971
75	7	7	1.49	1	0:00:00.363581
76	3	3	1.88	1	0:00:00.366976
77	2	7	0.103	0	0:00:00.363499
78	9	9	0.514	1	0:00:00.362463
79	7	7	3.05	1	0:00:00.362757
80	7	7	0.0225	1	0:00:00.363125
81	6	6	2.37	1	0:00:00.363027
82	2	2	3.74	1	0:00:00.362313
83	7	7	1.27	1	0:00:00.363697
84	8	8	1.16	1	0:00:00.365653
85	4	4	2.66	1	0:00:00.363493
86	7	7	2.66	1	0:00:00.365353
87	3	3	1.96	1	0:00:00.366071
88	6	6	3.17	1	0:00:00.369453
89	1	1	2.74	1	0:00:00.366017
90	3	3	2.29	1	0:00:00.367525
91	6	6	2.87	1	0:00:00.368609
92	9	-1	0.0	0	0:00:00.364168
93	3	3	1.99	1	0:00:00.365595
94	1	1	2.44	1	0:00:00.364405
95	4	4	1.46	1	0:00:00.365275
96	1	1	1.84	1	0:00:00.364528
97	7	7	0.835	1	0:00:00.361975
