idx	label	predict	radius	correct	time
0	7	7	0.555	1	0:00:00.185729
1	2	2	0.383	1	0:00:00.184635
2	1	-1	0.0	0	0:00:00.184494
3	0	0	0.953	1	0:00:00.185180
4	4	8	0.0923	0	0:00:00.185277
5	1	-1	0.0	0	0:00:00.184722
6	4	8	0.242	0	0:00:00.184859
7	9	8	0.905	0	0:00:00.184555
8	5	8	0.382	0	0:00:00.184682
9	9	8	0.0869	0	0:00:00.184869
10	0	0	0.646	1	0:00:00.185421
11	6	6	0.359	1	0:00:00.185147
12	9	8	0.145	0	0:00:00.185834
13	0	0	0.716	1	0:00:00.184740
14	1	-1	0.0	0	0:00:00.184230
15	5	5	0.224	1	0:00:00.184916
16	9	8	0.296	0	0:00:00.184988
17	7	7	0.512	1	0:00:00.184600
18	3	8	0.582	0	0:00:00.185140
19	4	4	0.294	1	0:00:00.184910
20	9	8	0.225	0	0:00:00.185057
21	6	8	0.143	0	0:00:00.184868
22	6	6	0.302	1	0:00:00.184950
23	5	5	0.1	1	0:00:00.184935
24	4	8	0.189	0	0:00:00.184596
25	0	0	0.953	1	0:00:00.184659
26	7	7	0.239	1	0:00:00.184664
27	4	4	0.406	1	0:00:00.185678
28	0	0	0.751	1	0:00:00.185022
29	1	8	0.133	0	0:00:00.185350
30	3	3	0.326	1	0:00:00.184717
31	1	8	0.175	0	0:00:00.184609
32	3	3	0.00773	1	0:00:00.184940
33	4	4	0.0843	1	0:00:00.184830
34	7	7	0.328	1	0:00:00.184961
35	2	2	0.57	1	0:00:00.184443
36	7	7	0.275	1	0:00:00.184741
37	1	-1	0.0	0	0:00:00.185500
38	2	2	0.287	1	0:00:00.185035
39	1	-1	0.0	0	0:00:00.184937
40	1	8	0.209	0	0:00:00.184569
41	7	7	0.0136	1	0:00:00.184366
42	4	4	0.169	1	0:00:00.184878
43	2	8	0.134	0	0:00:00.184416
44	3	3	0.0195	1	0:00:00.184277
45	5	8	0.0285	0	0:00:00.184690
46	1	8	0.124	0	0:00:00.184939
47	2	2	0.72	1	0:00:00.184924
48	4	4	0.303	1	0:00:00.184641
49	4	8	0.175	0	0:00:00.185104
50	6	8	0.222	0	0:00:00.184659
51	3	3	0.397	1	0:00:00.184395
52	5	5	0.286	1	0:00:00.185541
53	5	5	0.131	1	0:00:00.184737
54	6	-1	0.0	0	0:00:00.185020
55	0	0	0.44	1	0:00:00.185281
56	4	4	0.12	1	0:00:00.185228
57	1	-1	0.0	0	0:00:00.184669
58	9	9	0.333	1	0:00:00.185063
59	5	8	0.35	0	0:00:00.185191
60	7	7	0.684	1	0:00:00.184899
61	8	8	0.708	1	0:00:00.184652
62	9	8	0.763	0	0:00:00.185214
63	3	3	0.000538	1	0:00:00.184849
64	7	7	0.268	1	0:00:00.185075
65	4	8	0.147	0	0:00:00.184918
66	6	6	0.327	1	0:00:00.185349
67	4	4	0.141	1	0:00:00.185164
68	3	3	0.174	1	0:00:00.185043
69	0	0	0.675	1	0:00:00.184516
70	7	7	0.503	1	0:00:00.184690
71	0	0	0.869	1	0:00:00.185282
72	2	2	0.538	1	0:00:00.185498
73	9	8	0.325	0	0:00:00.185223
74	1	-1	0.0	0	0:00:00.185042
75	7	7	0.714	1	0:00:00.184661
76	3	3	0.0334	1	0:00:00.186729
77	2	2	0.371	1	0:00:00.189367
78	9	8	0.541	0	0:00:00.186418
79	7	7	0.425	1	0:00:00.184657
80	7	8	0.148	0	0:00:00.185418
81	6	6	0.173	1	0:00:00.185257
82	2	2	0.594	1	0:00:00.184866
83	7	7	0.057	1	0:00:00.185457
84	8	8	0.953	1	0:00:00.186236
85	4	4	0.25	1	0:00:00.184703
86	7	7	0.531	1	0:00:00.185385
87	3	3	0.202	1	0:00:00.185256
88	6	6	0.524	1	0:00:00.185205
89	1	-1	0.0	0	0:00:00.184850
90	3	3	0.203	1	0:00:00.185772
91	6	6	0.0985	1	0:00:00.184951
92	9	8	0.558	0	0:00:00.184756
93	3	3	0.261	1	0:00:00.185438
94	1	-1	0.0	0	0:00:00.184922
95	4	4	0.572	1	0:00:00.184926
96	1	8	0.396	0	0:00:00.185227
97	7	7	0.334	1	0:00:00.184717
98	6	6	0.285	1	0:00:00.185200
99	9	8	0.286	0	0:00:00.185160
100	6	6	0.434	1	0:00:00.184785
101	0	0	0.764	1	0:00:00.185066
102	5	5	0.422	1	0:00:00.185619
103	4	4	0.288	1	0:00:00.184933
104	9	8	0.505	0	0:00:00.185123
105	9	8	0.349	0	0:00:00.184606
106	2	2	0.337	1	0:00:00.185152
107	1	8	0.297	0	0:00:00.184525
108	9	8	0.261	0	0:00:00.185017
109	4	4	0.4	1	0:00:00.185007
110	8	8	0.953	1	0:00:00.185733
111	7	-1	0.0	0	0:00:00.185014
112	3	3	0.117	1	0:00:00.184894
113	9	8	0.599	0	0:00:00.184819
114	7	7	0.131	1	0:00:00.185090
115	4	8	0.101	0	0:00:00.185204
116	4	-1	0.0	0	0:00:00.185183
117	4	4	0.0085	1	0:00:00.185104
118	9	8	0.246	0	0:00:00.185007
119	2	-1	0.0	0	0:00:00.184635
120	5	5	0.258	1	0:00:00.185039
121	4	8	0.294	0	0:00:00.185010
122	7	7	0.139	1	0:00:00.184735
123	6	6	0.207	1	0:00:00.185082
124	7	-1	0.0	0	0:00:00.184799
125	9	8	0.531	0	0:00:00.184751
126	0	0	0.288	1	0:00:00.185534
127	5	5	0.264	1	0:00:00.186029
128	8	8	0.953	1	0:00:00.185699
129	5	5	0.255	1	0:00:00.184955
130	6	6	0.155	1	0:00:00.185620
131	6	6	0.115	1	0:00:00.185097
132	5	5	0.398	1	0:00:00.185171
133	7	7	0.222	1	0:00:00.184696
