idx	label	predict	radius	correct	time
0	7	7	0.562	1	0:00:00.186002
1	2	2	0.953	1	0:00:00.184912
2	1	8	0.378	0	0:00:00.184572
3	0	0	0.165	1	0:00:00.185519
4	4	4	0.847	1	0:00:00.185048
5	1	8	0.665	0	0:00:00.185922
6	4	4	0.0211	1	0:00:00.184948
7	9	9	0.953	1	0:00:00.184412
8	5	5	0.953	1	0:00:00.185054
9	9	9	0.327	1	0:00:00.185319
10	0	0	0.953	1	0:00:00.184855
11	6	6	0.953	1	0:00:00.184589
12	9	9	0.471	1	0:00:00.184928
13	0	0	0.953	1	0:00:00.186065
14	1	8	0.494	0	0:00:00.185209
15	5	5	0.865	1	0:00:00.185145
16	9	9	0.411	1	0:00:00.184783
17	7	7	0.953	1	0:00:00.184530
18	3	8	0.167	0	0:00:00.184515
19	4	4	0.953	1	0:00:00.185019
20	9	9	0.395	1	0:00:00.185473
21	6	6	0.45	1	0:00:00.184743
22	6	6	0.953	1	0:00:00.185053
23	5	5	0.935	1	0:00:00.186111
24	4	4	0.1	1	0:00:00.184549
25	0	0	0.128	1	0:00:00.185776
26	7	7	0.749	1	0:00:00.185098
27	4	4	0.514	1	0:00:00.184720
28	0	0	0.503	1	0:00:00.184660
29	1	8	0.532	0	0:00:00.184369
30	3	3	0.847	1	0:00:00.184561
31	1	8	0.35	0	0:00:00.185952
32	3	3	0.953	1	0:00:00.184653
33	4	4	0.201	1	0:00:00.184793
34	7	8	0.404	0	0:00:00.184482
35	2	2	0.953	1	0:00:00.185070
36	7	7	0.00189	1	0:00:00.184938
37	1	8	0.642	0	0:00:00.184681
38	2	2	0.953	1	0:00:00.184580
39	1	8	0.621	0	0:00:00.184628
40	1	1	0.0798	1	0:00:00.184574
41	7	-1	0.0	0	0:00:00.184631
42	4	4	0.839	1	0:00:00.184519
43	2	2	0.81	1	0:00:00.185363
44	3	3	0.766	1	0:00:00.184992
45	5	5	0.736	1	0:00:00.184525
46	1	8	0.53	0	0:00:00.184749
47	2	2	0.953	1	0:00:00.185912
48	4	8	0.0248	0	0:00:00.184620
49	4	4	0.953	1	0:00:00.184711
50	6	6	0.881	1	0:00:00.185061
51	3	3	0.935	1	0:00:00.184822
52	5	5	0.771	1	0:00:00.185351
53	5	5	0.953	1	0:00:00.185481
