idx	label	predict	radius	correct	time
0	7	7	0.953	1	0:00:00.185924
1	2	2	0.953	1	0:00:00.185554
2	1	1	0.844	1	0:00:00.185075
3	0	0	0.953	1	0:00:00.185260
4	4	4	0.953	1	0:00:00.185090
5	1	1	0.953	1	0:00:00.184667
6	4	4	0.886	1	0:00:00.185173
7	9	9	0.953	1	0:00:00.185033
8	5	5	0.953	1	0:00:00.185184
9	9	9	0.953	1	0:00:00.184949
10	0	0	0.953	1	0:00:00.185274
11	6	6	0.953	1	0:00:00.184947
12	9	9	0.953	1	0:00:00.185113
13	0	0	0.953	1	0:00:00.185344
14	1	1	0.953	1	0:00:00.185354
15	5	5	0.953	1	0:00:00.184705
16	9	9	0.953	1	0:00:00.185027
17	7	7	0.953	1	0:00:00.185141
18	3	3	0.0799	1	0:00:00.185421
19	4	4	0.953	1	0:00:00.185238
20	9	9	0.953	1	0:00:00.185385
21	6	6	0.935	1	0:00:00.184709
22	6	6	0.953	1	0:00:00.184924
23	5	5	0.953	1	0:00:00.184552
24	4	4	0.935	1	0:00:00.184741
25	0	0	0.953	1	0:00:00.185088
26	7	7	0.659	1	0:00:00.185032
27	4	4	0.953	1	0:00:00.185066
28	0	0	0.953	1	0:00:00.184894
29	1	1	0.953	1	0:00:00.185259
30	3	3	0.953	1	0:00:00.184963
31	1	1	0.953	1	0:00:00.185040
32	3	3	0.953	1	0:00:00.184934
33	4	4	0.953	1	0:00:00.185001
34	7	7	0.953	1	0:00:00.184311
35	2	2	0.953	1	0:00:00.185556
36	7	7	0.953	1	0:00:00.186694
37	1	1	0.935	1	0:00:00.186903
38	2	2	0.953	1	0:00:00.186603
39	1	1	0.953	1	0:00:00.184491
40	1	1	0.953	1	0:00:00.184810
41	7	7	0.953	1	0:00:00.184595
42	4	4	0.953	1	0:00:00.185676
43	2	2	0.953	1	0:00:00.184801
44	3	3	0.953	1	0:00:00.184866
45	5	5	0.729	1	0:00:00.185191
46	1	1	0.953	1	0:00:00.185340
47	2	2	0.953	1	0:00:00.184838
48	4	4	0.66	1	0:00:00.185408
49	4	4	0.953	1	0:00:00.185164
50	6	6	0.953	1	0:00:00.186468
51	3	3	0.953	1	0:00:00.184890
52	5	5	0.953	1	0:00:00.185385
53	5	5	0.953	1	0:00:00.184676
54	6	6	0.953	1	0:00:00.185320
55	0	0	0.953	1	0:00:00.185092
56	4	4	0.953	1	0:00:00.184723
57	1	1	0.953	1	0:00:00.184891
58	9	9	0.953	1	0:00:00.184815
59	5	5	0.953	1	0:00:00.184681
60	7	7	0.953	1	0:00:00.184687
61	8	8	0.953	1	0:00:00.184896
62	9	9	0.474	1	0:00:00.184769
63	3	3	0.877	1	0:00:00.185140
64	7	7	0.953	1	0:00:00.185080
65	4	4	0.953	1	0:00:00.184925
66	6	6	0.953	1	0:00:00.184972
67	4	4	0.953	1	0:00:00.186308
68	3	3	0.953	1	0:00:00.185280
69	0	0	0.953	1	0:00:00.185480
70	7	7	0.953	1	0:00:00.185055
71	0	0	0.953	1	0:00:00.185033
72	2	2	0.953	1	0:00:00.184875
73	9	9	0.698	1	0:00:00.184957
74	1	1	0.953	1	0:00:00.185667
75	7	7	0.953	1	0:00:00.184963
76	3	3	0.953	1	0:00:00.184814
77	2	2	0.953	1	0:00:00.184319
78	9	9	0.922	1	0:00:00.184927
79	7	7	0.953	1	0:00:00.184759
80	7	7	0.953	1	0:00:00.184533
81	6	6	0.953	1	0:00:00.185016
82	2	2	0.953	1	0:00:00.184669
83	7	7	0.953	1	0:00:00.185538
84	8	8	0.953	1	0:00:00.185512
85	4	4	0.953	1	0:00:00.186601
86	7	7	0.953	1	0:00:00.186318
87	3	3	0.953	1	0:00:00.185058
88	6	6	0.953	1	0:00:00.185605
89	1	1	0.953	1	0:00:00.184799
90	3	3	0.953	1	0:00:00.184176
91	6	6	0.953	1	0:00:00.184470
92	9	4	0.175	0	0:00:00.186438
93	3	3	0.953	1	0:00:00.185003
94	1	1	0.953	1	0:00:00.185162
95	4	4	0.953	1	0:00:00.185323
96	1	1	0.953	1	0:00:00.184592
97	7	7	0.953	1	0:00:00.184782
98	6	6	0.953	1	0:00:00.184840
99	9	9	0.953	1	0:00:00.184761
100	6	6	0.953	1	0:00:00.184961
101	0	0	0.953	1	0:00:00.185151
102	5	5	0.953	1	0:00:00.185979
103	4	4	0.953	1	0:00:00.186593
104	9	9	0.953	1	0:00:00.185486
105	9	9	0.953	1	0:00:00.185014
106	2	2	0.953	1	0:00:00.185547
107	1	1	0.935	1	0:00:00.185315
108	9	9	0.953	1	0:00:00.186265
109	4	4	0.953	1	0:00:00.186661
110	8	8	0.953	1	0:00:00.185672
111	7	7	0.953	1	0:00:00.185544
112	3	3	0.953	1	0:00:00.184888
113	9	9	0.953	1	0:00:00.184949
114	7	7	0.953	1	0:00:00.185982
115	4	4	0.293	1	0:00:00.184874
116	4	4	0.953	1	0:00:00.184439
117	4	4	0.953	1	0:00:00.184684
118	9	9	0.935	1	0:00:00.184885
119	2	2	0.953	1	0:00:00.184437
120	5	5	0.953	1	0:00:00.184771
121	4	4	0.953	1	0:00:00.185369
122	7	7	0.953	1	0:00:00.184710
123	6	6	0.953	1	0:00:00.184767
124	7	7	0.719	1	0:00:00.185236
125	9	9	0.953	1	0:00:00.185009
126	0	0	0.953	1	0:00:00.184932
127	5	5	0.953	1	0:00:00.185232
128	8	8	0.953	1	0:00:00.185089
129	5	5	0.953	1	0:00:00.185007
130	6	6	0.953	1	0:00:00.184773
131	6	6	0.953	1	0:00:00.185004
132	5	5	0.953	1	0:00:00.184486
133	7	7	0.953	1	0:00:00.185184
134	8	8	0.953	1	0:00:00.184953
135	1	1	0.953	1	0:00:00.185323
136	0	0	0.953	1	0:00:00.185213
137	1	1	0.953	1	0:00:00.185430
138	6	6	0.953	1	0:00:00.184929
139	4	4	0.412	1	0:00:00.184803
140	6	6	0.953	1	0:00:00.184980
141	7	7	0.953	1	0:00:00.185057
142	3	3	0.953	1	0:00:00.185509
143	1	1	0.935	1	0:00:00.184811
144	7	7	0.953	1	0:00:00.185157
145	1	1	0.953	1	0:00:00.184304
146	8	8	0.953	1	0:00:00.184883
147	2	2	0.953	1	0:00:00.184929
148	0	0	0.953	1	0:00:00.184926
149	2	2	0.862	1	0:00:00.185025
150	9	9	0.953	1	0:00:00.184893
151	9	9	0.367	1	0:00:00.185440
152	5	5	0.953	1	0:00:00.184961
153	5	5	0.788	1	0:00:00.185579
154	1	1	0.855	1	0:00:00.185000
155	5	5	0.953	1	0:00:00.185449
156	6	6	0.953	1	0:00:00.185128
157	0	0	0.953	1	0:00:00.184780
158	3	3	0.858	1	0:00:00.184879
159	4	4	0.953	1	0:00:00.184769
160	4	4	0.953	1	0:00:00.185087
161	6	6	0.953	1	0:00:00.184856
162	5	5	0.953	1	0:00:00.184626
163	4	4	0.953	1	0:00:00.184798
164	6	6	0.953	1	0:00:00.185234
165	5	5	0.953	1	0:00:00.185209
166	4	4	0.953	1	0:00:00.185097
167	5	5	0.953	1	0:00:00.184995
168	1	1	0.953	1	0:00:00.185005
169	4	4	0.953	1	0:00:00.184647
170	4	4	0.953	1	0:00:00.185270
171	7	7	0.953	1	0:00:00.185080
172	2	2	0.953	1	0:00:00.185200
173	3	3	0.953	1	0:00:00.184902
174	2	2	0.953	1	0:00:00.185287
175	7	7	0.365	1	0:00:00.184880
176	1	1	0.789	1	0:00:00.184978
177	8	8	0.953	1	0:00:00.185422
178	1	1	0.847	1	0:00:00.185151
179	8	8	0.953	1	0:00:00.185138
180	1	1	0.953	1	0:00:00.184691
181	8	8	0.953	1	0:00:00.185205
182	5	5	0.326	1	0:00:00.184821
183	0	0	0.953	1	0:00:00.185286
184	8	8	0.935	1	0:00:00.185513
185	9	9	0.953	1	0:00:00.185116
186	2	2	0.953	1	0:00:00.184857
187	5	5	0.953	1	0:00:00.185220
188	0	0	0.953	1	0:00:00.185167
189	1	1	0.953	1	0:00:00.185704
190	1	1	0.953	1	0:00:00.185467
191	1	1	0.953	1	0:00:00.185141
192	0	0	0.953	1	0:00:00.185563
193	9	9	0.696	1	0:00:00.184892
194	0	0	0.953	1	0:00:00.184912
195	3	3	0.844	1	0:00:00.185318
196	1	1	0.953	1	0:00:00.185301
197	6	6	0.953	1	0:00:00.185499
198	4	4	0.953	1	0:00:00.184699
199	2	2	0.482	1	0:00:00.185478
200	3	3	0.953	1	0:00:00.185145
201	6	6	0.953	1	0:00:00.185567
202	1	1	0.953	1	0:00:00.185317
203	1	1	0.813	1	0:00:00.185023
204	1	1	0.953	1	0:00:00.185149
205	3	3	0.953	1	0:00:00.184734
206	9	9	0.953	1	0:00:00.185232
207	5	5	0.953	1	0:00:00.185152
208	2	2	0.953	1	0:00:00.185058
209	9	9	0.953	1	0:00:00.185194
210	4	4	0.953	1	0:00:00.184815
211	5	5	0.913	1	0:00:00.184524
212	9	9	0.953	1	0:00:00.185472
213	3	3	0.953	1	0:00:00.184998
214	9	9	0.953	1	0:00:00.184706
215	0	0	0.953	1	0:00:00.185421
216	3	3	0.953	1	0:00:00.185326
217	6	6	0.437	1	0:00:00.185741
218	5	5	0.953	1	0:00:00.184718
219	5	5	0.953	1	0:00:00.184883
220	7	7	0.953	1	0:00:00.185260
221	2	2	0.953	1	0:00:00.185344
222	2	2	0.953	1	0:00:00.184634
223	7	7	0.953	1	0:00:00.185212
224	1	1	0.659	1	0:00:00.184551
225	2	2	0.953	1	0:00:00.184845
226	8	8	0.953	1	0:00:00.184814
227	4	4	0.953	1	0:00:00.185047
228	1	1	0.873	1	0:00:00.184802
229	7	7	0.953	1	0:00:00.185103
230	3	3	0.953	1	0:00:00.184937
231	3	3	0.953	1	0:00:00.185215
232	8	8	0.953	1	0:00:00.185138
233	8	8	0.953	1	0:00:00.185321
234	7	7	0.953	1	0:00:00.185049
235	9	9	0.913	1	0:00:00.185312
236	2	2	0.953	1	0:00:00.184734
237	2	2	0.953	1	0:00:00.185001
238	4	4	0.953	1	0:00:00.184858
239	1	1	0.953	1	0:00:00.185213
240	5	5	0.953	1	0:00:00.185031
241	9	9	0.471	1	0:00:00.184927
242	8	8	0.953	1	0:00:00.186723
243	7	7	0.953	1	0:00:00.184735
244	2	2	0.953	1	0:00:00.185619
245	3	3	0.597	1	0:00:00.185034
246	0	0	0.953	1	0:00:00.185116
247	4	4	0.102	1	0:00:00.185151
248	4	4	0.953	1	0:00:00.185030
249	2	2	0.953	1	0:00:00.185054
250	4	4	0.953	1	0:00:00.184778
251	1	1	0.873	1	0:00:00.185066
252	9	9	0.953	1	0:00:00.185403
253	5	5	0.953	1	0:00:00.184614
254	7	7	0.855	1	0:00:00.185094
255	7	7	0.953	1	0:00:00.184950
256	2	2	0.953	1	0:00:00.184882
257	8	8	0.546	1	0:00:00.184831
258	2	2	0.953	1	0:00:00.184851
259	6	6	0.953	1	0:00:00.184738
260	8	8	0.953	1	0:00:00.185170
261	5	5	0.953	1	0:00:00.184849
262	7	7	0.953	1	0:00:00.184572
263	7	7	0.953	1	0:00:00.185176
264	9	9	0.353	1	0:00:00.184955
265	1	1	0.935	1	0:00:00.184770
266	8	8	0.953	1	0:00:00.185519
267	1	1	0.922	1	0:00:00.186404
268	8	8	0.953	1	0:00:00.185038
269	0	0	0.953	1	0:00:00.185561
270	3	3	0.953	1	0:00:00.184680
271	0	0	0.953	1	0:00:00.184855
272	1	1	0.729	1	0:00:00.185200
273	9	9	0.953	1	0:00:00.185080
274	9	9	0.935	1	0:00:00.184947
275	4	4	0.698	1	0:00:00.184605
276	1	1	0.953	1	0:00:00.184866
