idx	label	predict	radius	correct	time
0	7	8	0.26	0	0:00:00.202360
1	2	8	0.443	0	0:00:00.185137
2	1	8	0.369	0	0:00:00.187395
3	0	0	0.261	1	0:00:00.186762
4	4	4	0.0505	1	0:00:00.185766
5	1	8	0.15	0	0:00:00.185447
6	4	8	0.598	0	0:00:00.185634
7	9	8	0.892	0	0:00:00.186184
8	5	8	0.237	0	0:00:00.187013
9	9	8	0.445	0	0:00:00.186763
10	0	0	0.367	1	0:00:00.187448
11	6	8	0.393	0	0:00:00.186611
12	9	8	0.556	0	0:00:00.186358
13	0	8	0.0507	0	0:00:00.187615
14	1	8	0.255	0	0:00:00.185861
15	5	8	0.198	0	0:00:00.187237
16	9	8	0.444	0	0:00:00.186831
17	7	8	0.109	0	0:00:00.187626
18	3	8	0.509	0	0:00:00.185064
19	4	4	0.00511	1	0:00:00.185165
20	9	8	0.412	0	0:00:00.186830
21	6	6	0.0519	1	0:00:00.187291
22	6	6	0.313	1	0:00:00.187009
23	5	8	0.0665	0	0:00:00.186787
24	4	-1	0.0	0	0:00:00.184997
25	0	0	0.301	1	0:00:00.186146
26	7	-1	0.0	0	0:00:00.185633
27	4	8	0.363	0	0:00:00.186455
28	0	0	0.385	1	0:00:00.186601
29	1	8	0.225	0	0:00:00.186616
30	3	8	0.0391	0	0:00:00.185626
31	1	-1	0.0	0	0:00:00.185925
32	3	8	0.673	0	0:00:00.187060
33	4	8	0.194	0	0:00:00.185731
34	7	7	0.151	1	0:00:00.185766
35	2	2	0.3	1	0:00:00.186117
36	7	8	0.278	0	0:00:00.186553
37	1	8	0.231	0	0:00:00.186627
38	2	2	0.0812	1	0:00:00.186355
39	1	1	0.353	1	0:00:00.186166
40	1	8	0.558	0	0:00:00.186800
41	7	8	0.518	0	0:00:00.187147
42	4	8	0.275	0	0:00:00.185822
43	2	2	0.101	1	0:00:00.187975
44	3	8	0.368	0	0:00:00.186699
45	5	8	0.484	0	0:00:00.185575
46	1	8	0.397	0	0:00:00.185355
47	2	8	0.00906	0	0:00:00.185982
48	4	8	0.217	0	0:00:00.185380
49	4	8	0.785	0	0:00:00.185116
50	6	8	0.228	0	0:00:00.186158
51	3	8	0.334	0	0:00:00.185569
52	5	8	0.293	0	0:00:00.185371
53	5	8	0.403	0	0:00:00.186093
54	6	6	0.32	1	0:00:00.186201
55	0	8	0.122	0	0:00:00.187284
56	4	8	0.153	0	0:00:00.185253
57	1	8	0.399	0	0:00:00.186361
58	9	8	0.537	0	0:00:00.185331
59	5	8	0.181	0	0:00:00.186205
60	7	8	0.256	0	0:00:00.186799
61	8	8	0.503	1	0:00:00.186948
62	9	5	0.0222	0	0:00:00.184778
63	3	-1	0.0	0	0:00:00.186080
64	7	-1	0.0	0	0:00:00.186805
65	4	1	0.366	0	0:00:00.186132
66	6	8	0.15	0	0:00:00.187544
67	4	8	0.615	0	0:00:00.185927
68	3	8	0.0206	0	0:00:00.187061
69	0	0	0.248	1	0:00:00.187643
70	7	-1	0.0	0	0:00:00.187878
71	0	-1	0.0	0	0:00:00.187531
72	2	-1	0.0	0	0:00:00.186862
73	9	8	0.285	0	0:00:00.185509
74	1	8	0.481	0	0:00:00.185690
75	7	7	0.146	1	0:00:00.186115
76	3	8	0.417	0	0:00:00.185177
77	2	8	0.356	0	0:00:00.185770
78	9	8	0.369	0	0:00:00.186866
79	7	7	0.0429	1	0:00:00.186222
80	7	-1	0.0	0	0:00:00.187335
81	6	8	0.343	0	0:00:00.185829
82	2	2	0.59	1	0:00:00.186235
83	7	8	0.351	0	0:00:00.185753
84	8	8	0.881	1	0:00:00.187081
85	4	8	0.275	0	0:00:00.186477
86	7	8	0.26	0	0:00:00.186480
87	3	8	0.178	0	0:00:00.186912
88	6	8	0.299	0	0:00:00.186779
89	1	8	0.234	0	0:00:00.186124
90	3	8	0.0557	0	0:00:00.186351
