idx	label	predict	radius	correct	time
0	7	7	0.953	1	0:00:00.185780
1	2	2	0.953	1	0:00:00.185027
2	1	1	0.839	1	0:00:00.184307
3	0	0	0.953	1	0:00:00.185118
4	4	4	0.953	1	0:00:00.184934
5	1	1	0.694	1	0:00:00.184805
6	4	4	0.852	1	0:00:00.184773
7	9	9	0.858	1	0:00:00.184932
8	5	5	0.487	1	0:00:00.184858
9	9	9	0.65	1	0:00:00.184928
10	0	0	0.953	1	0:00:00.185175
11	6	6	0.953	1	0:00:00.185262
12	9	9	0.575	1	0:00:00.185341
13	0	0	0.953	1	0:00:00.184843
14	1	1	0.953	1	0:00:00.185071
15	5	5	0.638	1	0:00:00.184317
16	9	9	0.37	1	0:00:00.184949
17	7	7	0.953	1	0:00:00.185516
18	3	3	0.0337	1	0:00:00.185088
19	4	4	0.734	1	0:00:00.185157
20	9	9	0.53	1	0:00:00.184708
21	6	6	0.819	1	0:00:00.184657
22	6	6	0.953	1	0:00:00.185086
23	5	5	0.953	1	0:00:00.185003
24	4	4	0.262	1	0:00:00.185713
25	0	0	0.953	1	0:00:00.185168
26	7	7	0.953	1	0:00:00.184973
27	4	4	0.953	1	0:00:00.184595
28	0	0	0.953	1	0:00:00.185056
29	1	1	0.953	1	0:00:00.185206
30	3	3	0.953	1	0:00:00.185296
31	1	1	0.953	1	0:00:00.184834
32	3	3	0.953	1	0:00:00.185319
33	4	4	0.623	1	0:00:00.185074
34	7	7	0.825	1	0:00:00.185325
35	2	2	0.953	1	0:00:00.184797
36	7	7	0.935	1	0:00:00.184846
37	1	1	0.953	1	0:00:00.184829
38	2	2	0.43	1	0:00:00.184208
39	1	1	0.953	1	0:00:00.184951
40	1	1	0.892	1	0:00:00.184503
41	7	7	0.777	1	0:00:00.184988
42	4	4	0.953	1	0:00:00.184977
43	2	2	0.773	1	0:00:00.184877
44	3	3	0.476	1	0:00:00.184695
45	5	5	0.713	1	0:00:00.184950
46	1	1	0.953	1	0:00:00.184799
47	2	2	0.953	1	0:00:00.185171
48	4	4	0.707	1	0:00:00.185252
49	4	4	0.953	1	0:00:00.185057
50	6	6	0.953	1	0:00:00.184999
51	3	3	0.769	1	0:00:00.184942
52	5	5	0.922	1	0:00:00.185116
53	5	5	0.339	1	0:00:00.184914
54	6	6	0.953	1	0:00:00.185138
55	0	0	0.759	1	0:00:00.184779
56	4	4	0.953	1	0:00:00.184972
57	1	1	0.628	1	0:00:00.184847
58	9	9	0.419	1	0:00:00.185128
59	5	5	0.701	1	0:00:00.184947
60	7	7	0.953	1	0:00:00.185295
61	8	8	0.892	1	0:00:00.185523
62	9	5	0.053	0	0:00:00.184816
63	3	3	0.601	1	0:00:00.185127
64	7	7	0.847	1	0:00:00.184968
65	4	4	0.495	1	0:00:00.184620
66	6	6	0.869	1	0:00:00.185218
67	4	4	0.81	1	0:00:00.186290
68	3	3	0.855	1	0:00:00.186811
69	0	0	0.953	1	0:00:00.186854
70	7	7	0.953	1	0:00:00.187063
71	0	0	0.953	1	0:00:00.185873
72	2	2	0.953	1	0:00:00.185360
73	9	9	0.604	1	0:00:00.185531
74	1	1	0.953	1	0:00:00.185081
75	7	7	0.7	1	0:00:00.184997
76	3	3	0.277	1	0:00:00.184318
77	2	2	0.449	1	0:00:00.184951
78	9	9	0.497	1	0:00:00.185098
79	7	7	0.953	1	0:00:00.185312
80	7	7	0.502	1	0:00:00.184788
81	6	6	0.953	1	0:00:00.184813
82	2	2	0.953	1	0:00:00.184824
83	7	7	0.823	1	0:00:00.185125
84	8	8	0.62	1	0:00:00.185163
85	4	4	0.953	1	0:00:00.184951
86	7	7	0.953	1	0:00:00.185148
87	3	3	0.953	1	0:00:00.184905
88	6	6	0.953	1	0:00:00.185352
89	1	1	0.953	1	0:00:00.184689
90	3	3	0.905	1	0:00:00.185320
91	6	6	0.953	1	0:00:00.184879
92	9	4	0.0952	0	0:00:00.185007
93	3	3	0.935	1	0:00:00.185245
94	1	1	0.953	1	0:00:00.184975
95	4	4	0.953	1	0:00:00.185245
96	1	1	0.862	1	0:00:00.184604
97	7	7	0.835	1	0:00:00.185255
98	6	6	0.953	1	0:00:00.186050
99	9	9	0.831	1	0:00:00.185268
100	6	6	0.586	1	0:00:00.184942
101	0	0	0.953	1	0:00:00.185164
102	5	5	0.935	1	0:00:00.185109
103	4	4	0.953	1	0:00:00.185504
104	9	9	0.385	1	0:00:00.185080
105	9	9	0.315	1	0:00:00.184885
106	2	2	0.953	1	0:00:00.185335
107	1	1	0.373	1	0:00:00.185081
108	9	9	0.75	1	0:00:00.185068
109	4	4	0.659	1	0:00:00.185098
110	8	8	0.507	1	0:00:00.185009
111	7	7	0.15	1	0:00:00.185447
112	3	3	0.592	1	0:00:00.185182
113	9	9	0.506	1	0:00:00.184923
114	7	7	0.44	1	0:00:00.185116
115	4	4	0.168	1	0:00:00.184611
116	4	4	0.765	1	0:00:00.185068
117	4	4	0.953	1	0:00:00.185288
118	9	9	0.25	1	0:00:00.185165
119	2	2	0.198	1	0:00:00.184829
120	5	5	0.935	1	0:00:00.185511
121	4	4	0.383	1	0:00:00.185125
122	7	7	0.922	1	0:00:00.185207
123	6	6	0.842	1	0:00:00.186078
124	7	7	0.666	1	0:00:00.185357
125	9	9	0.285	1	0:00:00.184944
126	0	0	0.953	1	0:00:00.185165
127	5	5	0.935	1	0:00:00.185067
128	8	8	0.953	1	0:00:00.185038
129	5	5	0.913	1	0:00:00.184921
130	6	6	0.953	1	0:00:00.185208
131	6	6	0.953	1	0:00:00.185425
132	5	5	0.953	1	0:00:00.185143
133	7	7	0.535	1	0:00:00.185148
134	8	8	0.953	1	0:00:00.184835
135	1	1	0.663	1	0:00:00.185678
136	0	0	0.953	1	0:00:00.184973
137	1	1	0.711	1	0:00:00.185284
138	6	6	0.953	1	0:00:00.185157
139	4	4	0.575	1	0:00:00.184887
140	6	6	0.892	1	0:00:00.185103
141	7	7	0.953	1	0:00:00.184787
142	3	3	0.79	1	0:00:00.185382
143	1	1	0.953	1	0:00:00.184878
144	7	7	0.786	1	0:00:00.185361
145	1	1	0.886	1	0:00:00.184706
146	8	8	0.953	1	0:00:00.185311
147	2	2	0.953	1	0:00:00.185329
148	0	0	0.953	1	0:00:00.185377
149	2	2	0.794	1	0:00:00.185625
150	9	9	0.179	1	0:00:00.184978
151	9	8	0.298	0	0:00:00.184937
152	5	5	0.862	1	0:00:00.185071
153	5	5	0.728	1	0:00:00.185220
154	1	1	0.953	1	0:00:00.185095
155	5	5	0.953	1	0:00:00.184744
156	6	6	0.935	1	0:00:00.185008
157	0	0	0.953	1	0:00:00.185107
158	3	3	0.393	1	0:00:00.184927
159	4	4	0.295	1	0:00:00.184917
160	4	4	0.935	1	0:00:00.185382
161	6	6	0.953	1	0:00:00.185121
162	5	5	0.953	1	0:00:00.184730
163	4	4	0.953	1	0:00:00.184588
164	6	6	0.898	1	0:00:00.185178
165	5	5	0.898	1	0:00:00.185512
166	4	4	0.905	1	0:00:00.185193
167	5	5	0.626	1	0:00:00.184927
168	1	1	0.953	1	0:00:00.184552
169	4	4	0.807	1	0:00:00.185059
170	4	4	0.74	1	0:00:00.185087
171	7	7	0.601	1	0:00:00.185543
172	2	2	0.346	1	0:00:00.184995
173	3	3	0.526	1	0:00:00.186093
174	2	2	0.953	1	0:00:00.184750
175	7	1	0.257	0	0:00:00.185051
176	1	1	0.953	1	0:00:00.185086
177	8	8	0.795	1	0:00:00.185417
178	1	1	0.953	1	0:00:00.185099
179	8	8	0.858	1	0:00:00.185270
180	1	1	0.953	1	0:00:00.185178
181	8	8	0.953	1	0:00:00.185261
182	5	5	0.905	1	0:00:00.184467
183	0	0	0.953	1	0:00:00.184055
184	8	8	0.699	1	0:00:00.185117
185	9	9	0.143	1	0:00:00.185127
186	2	2	0.953	1	0:00:00.184977
187	5	5	0.764	1	0:00:00.185331
188	0	0	0.953	1	0:00:00.184786
189	1	1	0.953	1	0:00:00.184838
190	1	1	0.953	1	0:00:00.185439
191	1	1	0.953	1	0:00:00.185128
192	0	0	0.953	1	0:00:00.185203
193	9	9	0.0986	1	0:00:00.185071
194	0	0	0.953	1	0:00:00.184484
195	3	3	0.08	1	0:00:00.185046
196	1	1	0.953	1	0:00:00.184931
197	6	6	0.953	1	0:00:00.185243
198	4	4	0.698	1	0:00:00.185235
199	2	2	0.813	1	0:00:00.185255
200	3	3	0.67	1	0:00:00.185253
201	6	6	0.953	1	0:00:00.185019
202	1	1	0.736	1	0:00:00.185180
203	1	1	0.869	1	0:00:00.185385
204	1	1	0.953	1	0:00:00.185377
205	3	3	0.605	1	0:00:00.184695
206	9	9	0.549	1	0:00:00.185241
207	5	5	0.565	1	0:00:00.185436
208	2	2	0.953	1	0:00:00.185179
209	9	9	0.953	1	0:00:00.185399
210	4	4	0.457	1	0:00:00.184702
211	5	5	0.653	1	0:00:00.185117
212	9	9	0.953	1	0:00:00.184672
213	3	3	0.582	1	0:00:00.184824
214	9	9	0.639	1	0:00:00.185061
215	0	0	0.953	1	0:00:00.185150
216	3	3	0.953	1	0:00:00.185326
217	6	6	0.252	1	0:00:00.185159
218	5	5	0.855	1	0:00:00.185051
219	5	5	0.234	1	0:00:00.184999
220	7	7	0.953	1	0:00:00.184793
221	2	2	0.935	1	0:00:00.185009
222	2	2	0.953	1	0:00:00.185441
223	7	7	0.953	1	0:00:00.186013
224	1	1	0.953	1	0:00:00.185031
225	2	2	0.739	1	0:00:00.185486
226	8	8	0.953	1	0:00:00.185073
227	4	4	0.254	1	0:00:00.184582
228	1	1	0.524	1	0:00:00.184753
229	7	7	0.751	1	0:00:00.184788
230	3	3	0.819	1	0:00:00.184784
231	3	3	0.478	1	0:00:00.185176
232	8	8	0.715	1	0:00:00.184569
