idx	label	predict	radius	correct	time
0	7	7	0.953	1	0:00:00.207404
1	2	2	0.953	1	0:00:00.193033
2	1	1	0.953	1	0:00:00.185431
3	0	0	0.953	1	0:00:00.185864
4	4	4	0.953	1	0:00:00.184304
5	1	1	0.953	1	0:00:00.183649
6	4	4	0.953	1	0:00:00.183319
7	9	9	0.953	1	0:00:00.183762
8	5	5	0.953	1	0:00:00.186460
9	9	9	0.953	1	0:00:00.186022
10	0	0	0.953	1	0:00:00.184881
11	6	6	0.953	1	0:00:00.183309
12	9	9	0.953	1	0:00:00.185859
13	0	0	0.953	1	0:00:00.187464
14	1	1	0.953	1	0:00:00.185878
15	5	5	0.953	1	0:00:00.183263
16	9	9	0.953	1	0:00:00.183602
17	7	7	0.953	1	0:00:00.183637
18	3	3	0.329	1	0:00:00.185309
19	4	4	0.953	1	0:00:00.184822
20	9	9	0.953	1	0:00:00.185606
21	6	6	0.953	1	0:00:00.183703
22	6	6	0.953	1	0:00:00.184625
23	5	5	0.953	1	0:00:00.184132
24	4	4	0.953	1	0:00:00.183456
25	0	0	0.953	1	0:00:00.186993
26	7	7	0.953	1	0:00:00.188141
27	4	4	0.953	1	0:00:00.188013
28	0	0	0.953	1	0:00:00.186228
29	1	1	0.953	1	0:00:00.186666
30	3	3	0.953	1	0:00:00.187275
31	1	1	0.953	1	0:00:00.186641
32	3	3	0.953	1	0:00:00.184224
33	4	4	0.953	1	0:00:00.183199
34	7	7	0.953	1	0:00:00.185006
35	2	2	0.953	1	0:00:00.183727
36	7	7	0.953	1	0:00:00.188866
37	1	1	0.953	1	0:00:00.191688
38	2	2	0.953	1	0:00:00.186546
39	1	1	0.953	1	0:00:00.184528
40	1	1	0.953	1	0:00:00.183764
41	7	7	0.953	1	0:00:00.185718
42	4	4	0.953	1	0:00:00.196175
43	2	2	0.953	1	0:00:00.189423
44	3	3	0.953	1	0:00:00.187375
45	5	5	0.953	1	0:00:00.203026
46	1	1	0.953	1	0:00:00.197601
47	2	2	0.953	1	0:00:00.206626
48	4	4	0.953	1	0:00:00.185926
49	4	4	0.953	1	0:00:00.186413
50	6	6	0.953	1	0:00:00.187299
51	3	3	0.953	1	0:00:00.189527
52	5	5	0.953	1	0:00:00.188992
53	5	5	0.953	1	0:00:00.184928
54	6	6	0.953	1	0:00:00.184339
55	0	0	0.953	1	0:00:00.185732
56	4	4	0.953	1	0:00:00.184976
57	1	1	0.953	1	0:00:00.186686
58	9	9	0.953	1	0:00:00.186073
59	5	5	0.953	1	0:00:00.186443
60	7	7	0.953	1	0:00:00.185635
61	8	8	0.953	1	0:00:00.185424
62	9	9	0.844	1	0:00:00.186149
63	3	3	0.953	1	0:00:00.186342
64	7	7	0.953	1	0:00:00.185776
65	4	4	0.953	1	0:00:00.186019
66	6	6	0.953	1	0:00:00.185109
67	4	4	0.953	1	0:00:00.185652
68	3	3	0.953	1	0:00:00.186482
69	0	0	0.953	1	0:00:00.185429
70	7	7	0.953	1	0:00:00.184780
71	0	0	0.953	1	0:00:00.186583
72	2	2	0.953	1	0:00:00.184921
73	9	9	0.865	1	0:00:00.184512
74	1	1	0.953	1	0:00:00.184693
75	7	7	0.953	1	0:00:00.184424
76	3	3	0.953	1	0:00:00.184521
77	2	2	0.953	1	0:00:00.185303
78	9	9	0.953	1	0:00:00.188757
79	7	7	0.953	1	0:00:00.185401
80	7	7	0.953	1	0:00:00.183869
81	6	6	0.953	1	0:00:00.185259
82	2	2	0.953	1	0:00:00.185385
83	7	7	0.953	1	0:00:00.185813
84	8	8	0.953	1	0:00:00.184337
85	4	4	0.953	1	0:00:00.185936
86	7	7	0.953	1	0:00:00.183866
87	3	3	0.953	1	0:00:00.183908
88	6	6	0.953	1	0:00:00.184380
89	1	1	0.953	1	0:00:00.184957
90	3	3	0.953	1	0:00:00.185250
91	6	6	0.953	1	0:00:00.183794
92	9	9	0.206	1	0:00:00.185076
93	3	3	0.953	1	0:00:00.184285
94	1	1	0.953	1	0:00:00.184673
95	4	4	0.953	1	0:00:00.185230
96	1	1	0.953	1	0:00:00.184807
97	7	7	0.953	1	0:00:00.184099
98	6	6	0.953	1	0:00:00.184422
99	9	9	0.953	1	0:00:00.185426
100	6	6	0.953	1	0:00:00.183851
101	0	0	0.953	1	0:00:00.184358
102	5	5	0.953	1	0:00:00.184108
103	4	4	0.953	1	0:00:00.183889
104	9	9	0.953	1	0:00:00.183960
105	9	9	0.953	1	0:00:00.184371
106	2	2	0.953	1	0:00:00.184979
107	1	1	0.953	1	0:00:00.183989
108	9	9	0.953	1	0:00:00.184191
109	4	4	0.953	1	0:00:00.184285
110	8	8	0.953	1	0:00:00.184104
111	7	7	0.953	1	0:00:00.184165
112	3	3	0.953	1	0:00:00.184968
113	9	9	0.953	1	0:00:00.186116
114	7	7	0.953	1	0:00:00.183731
115	4	4	0.0989	1	0:00:00.184115
116	4	4	0.953	1	0:00:00.184467
117	4	4	0.953	1	0:00:00.184743
118	9	9	0.953	1	0:00:00.184704
119	2	2	0.953	1	0:00:00.184412
120	5	5	0.953	1	0:00:00.184222
121	4	4	0.953	1	0:00:00.184751
122	7	7	0.953	1	0:00:00.184407
123	6	6	0.953	1	0:00:00.185735
124	7	7	0.953	1	0:00:00.184854
125	9	9	0.953	1	0:00:00.184274
126	0	0	0.953	1	0:00:00.185138
127	5	5	0.953	1	0:00:00.184216
128	8	8	0.953	1	0:00:00.183997
129	5	5	0.953	1	0:00:00.183947
130	6	6	0.953	1	0:00:00.184527
131	6	6	0.953	1	0:00:00.184290
132	5	5	0.953	1	0:00:00.184681
133	7	7	0.953	1	0:00:00.184136
134	8	8	0.953	1	0:00:00.184083
