idx	label	predict	radius	correct	time
0	7	7	0.953	1	0:00:00.194661
1	2	2	0.953	1	0:00:00.184911
2	1	1	0.898	1	0:00:00.185269
3	0	0	0.953	1	0:00:00.185447
4	4	4	0.744	1	0:00:00.185300
5	1	1	0.953	1	0:00:00.184882
6	4	4	0.568	1	0:00:00.185275
7	9	9	0.898	1	0:00:00.184796
8	5	5	0.886	1	0:00:00.185431
9	9	9	0.869	1	0:00:00.186193
10	0	0	0.953	1	0:00:00.185278
11	6	6	0.953	1	0:00:00.184798
12	9	9	0.813	1	0:00:00.185317
13	0	0	0.953	1	0:00:00.185264
14	1	1	0.869	1	0:00:00.185095
15	5	5	0.842	1	0:00:00.185137
16	9	9	0.744	1	0:00:00.184683
17	7	7	0.953	1	0:00:00.185267
18	3	3	0.571	1	0:00:00.185426
19	4	4	0.792	1	0:00:00.185640
20	9	9	0.953	1	0:00:00.184943
21	6	6	0.913	1	0:00:00.185076
22	6	6	0.953	1	0:00:00.184751
23	5	5	0.953	1	0:00:00.185140
24	4	4	0.272	1	0:00:00.185572
25	0	0	0.953	1	0:00:00.185256
26	7	7	0.953	1	0:00:00.185294
27	4	4	0.953	1	0:00:00.185347
28	0	0	0.953	1	0:00:00.185120
29	1	1	0.774	1	0:00:00.185182
30	3	3	0.953	1	0:00:00.185312
31	1	1	0.953	1	0:00:00.184635
32	3	3	0.953	1	0:00:00.185237
33	4	4	0.796	1	0:00:00.185073
34	7	7	0.953	1	0:00:00.188312
35	2	2	0.953	1	0:00:00.185403
36	7	7	0.612	1	0:00:00.185751
37	1	1	0.953	1	0:00:00.185317
38	2	2	0.953	1	0:00:00.185037
39	1	1	0.935	1	0:00:00.184848
40	1	1	0.695	1	0:00:00.185311
41	7	7	0.793	1	0:00:00.185007
42	4	4	0.953	1	0:00:00.185132
43	2	2	0.953	1	0:00:00.185073
44	3	3	0.953	1	0:00:00.185599
45	5	5	0.953	1	0:00:00.185383
46	1	1	0.953	1	0:00:00.184845
47	2	2	0.953	1	0:00:00.185241
48	4	4	0.953	1	0:00:00.184880
49	4	4	0.953	1	0:00:00.185176
50	6	6	0.953	1	0:00:00.184714
51	3	3	0.953	1	0:00:00.185276
52	5	5	0.953	1	0:00:00.185099
53	5	5	0.913	1	0:00:00.184969
54	6	6	0.842	1	0:00:00.185610
55	0	0	0.953	1	0:00:00.185110
56	4	4	0.953	1	0:00:00.185245
57	1	1	0.7	1	0:00:00.184972
58	9	9	0.953	1	0:00:00.185041
59	5	5	0.76	1	0:00:00.185032
60	7	7	0.953	1	0:00:00.184532
61	8	8	0.953	1	0:00:00.185584
62	9	9	0.734	1	0:00:00.185051
63	3	3	0.953	1	0:00:00.184587
64	7	7	0.953	1	0:00:00.184727
65	4	4	0.282	1	0:00:00.185336
66	6	6	0.953	1	0:00:00.185399
67	4	4	0.953	1	0:00:00.185220
68	3	3	0.953	1	0:00:00.184918
69	0	0	0.953	1	0:00:00.184650
70	7	7	0.953	1	0:00:00.184780
71	0	0	0.953	1	0:00:00.184882
72	2	2	0.953	1	0:00:00.185358
73	9	9	0.366	1	0:00:00.185116
74	1	1	0.788	1	0:00:00.184691
75	7	7	0.953	1	0:00:00.184971
76	3	3	0.953	1	0:00:00.185084
77	2	2	0.953	1	0:00:00.184633
78	9	9	0.328	1	0:00:00.186691
79	7	7	0.953	1	0:00:00.184747
80	7	7	0.543	1	0:00:00.184912
81	6	6	0.953	1	0:00:00.184547
82	2	2	0.953	1	0:00:00.184953
83	7	7	0.953	1	0:00:00.184963
84	8	8	0.953	1	0:00:00.185147
85	4	4	0.953	1	0:00:00.185157
86	7	7	0.953	1	0:00:00.184926
87	3	3	0.953	1	0:00:00.184553
88	6	6	0.953	1	0:00:00.185197
