idx	label	predict	radius	correct	time
0	7	7	0.953	1	0:00:00.202111
1	2	2	0.953	1	0:00:00.184993
2	1	1	0.604	1	0:00:00.185011
3	0	0	0.355	1	0:00:00.186247
4	4	4	0.819	1	0:00:00.185962
5	1	1	0.783	1	0:00:00.185853
6	4	4	0.729	1	0:00:00.185696
7	9	9	0.462	1	0:00:00.185388
8	5	5	0.877	1	0:00:00.187594
9	9	9	0.601	1	0:00:00.187323
10	0	0	0.602	1	0:00:00.186410
11	6	6	0.44	1	0:00:00.185117
12	9	9	0.877	1	0:00:00.184793
13	0	0	0.922	1	0:00:00.185042
14	1	1	0.626	1	0:00:00.186592
15	5	5	0.869	1	0:00:00.186090
16	9	9	0.643	1	0:00:00.186410
17	7	7	0.953	1	0:00:00.185780
18	3	3	0.953	1	0:00:00.185832
19	4	4	0.652	1	0:00:00.185787
20	9	9	0.905	1	0:00:00.185532
21	6	6	0.161	1	0:00:00.185532
22	6	6	0.617	1	0:00:00.185920
23	5	5	0.953	1	0:00:00.186647
24	4	4	0.191	1	0:00:00.185926
25	0	0	0.835	1	0:00:00.185392
26	7	7	0.752	1	0:00:00.185381
27	4	4	0.766	1	0:00:00.186383
28	0	0	0.323	1	0:00:00.186214
29	1	1	0.372	1	0:00:00.186822
30	3	3	0.953	1	0:00:00.185543
31	1	1	0.497	1	0:00:00.186487
32	3	3	0.953	1	0:00:00.185008
33	4	4	0.631	1	0:00:00.184946
34	7	7	0.709	1	0:00:00.186308
35	2	2	0.953	1	0:00:00.186801
36	7	7	0.332	1	0:00:00.185579
37	1	1	0.398	1	0:00:00.186440
38	2	2	0.613	1	0:00:00.184969
39	1	1	0.504	1	0:00:00.186019
40	1	1	0.724	1	0:00:00.184826
41	7	7	0.145	1	0:00:00.185390
42	4	4	0.881	1	0:00:00.186491
43	2	2	0.844	1	0:00:00.185125
44	3	3	0.171	1	0:00:00.184440
45	5	5	0.827	1	0:00:00.185330
46	1	1	0.953	1	0:00:00.185470
47	2	2	0.913	1	0:00:00.187904
48	4	4	0.699	1	0:00:00.184930
49	4	4	0.935	1	0:00:00.184884
50	6	6	0.837	1	0:00:00.186434
51	3	3	0.953	1	0:00:00.185763
52	5	5	0.953	1	0:00:00.185736
53	5	5	0.579	1	0:00:00.185966
54	6	6	0.953	1	0:00:00.186081
55	0	0	0.513	1	0:00:00.185798
56	4	4	0.953	1	0:00:00.185899
57	1	1	0.711	1	0:00:00.184383
58	9	9	0.807	1	0:00:00.185729
59	5	5	0.922	1	0:00:00.185757
60	7	7	0.953	1	0:00:00.186377
61	8	8	0.787	1	0:00:00.185999
62	9	-1	0.0	0	0:00:00.186632
63	3	3	0.715	1	0:00:00.184863
64	7	7	0.953	1	0:00:00.184829
65	4	-1	0.0	0	0:00:00.184963
66	6	6	0.167	1	0:00:00.185253
67	4	4	0.76	1	0:00:00.185872
68	3	3	0.953	1	0:00:00.185333
69	0	0	0.953	1	0:00:00.185780
70	7	7	0.953	1	0:00:00.185647
71	0	0	0.953	1	0:00:00.185795
72	2	2	0.905	1	0:00:00.186049
73	9	9	0.223	1	0:00:00.188726
74	1	1	0.513	1	0:00:00.187075
75	7	7	0.852	1	0:00:00.185602
76	3	3	0.395	1	0:00:00.187937
77	2	2	0.922	1	0:00:00.186965
78	9	9	0.107	1	0:00:00.187368
79	7	7	0.953	1	0:00:00.188651
80	7	7	0.296	1	0:00:00.187027
81	6	6	0.767	1	0:00:00.187454
82	2	2	0.953	1	0:00:00.187194
83	7	7	0.76	1	0:00:00.186102
84	8	8	0.794	1	0:00:00.188690
85	4	4	0.953	1	0:00:00.188861
86	7	7	0.953	1	0:00:00.188143
87	3	3	0.953	1	0:00:00.187507
88	6	6	0.953	1	0:00:00.188220
89	1	1	0.136	1	0:00:00.187704
90	3	3	0.953	1	0:00:00.187063
91	6	6	0.953	1	0:00:00.185672
92	9	9	0.1	1	0:00:00.185760
93	3	3	0.953	1	0:00:00.185180
94	1	1	0.18	1	0:00:00.186172
95	4	4	0.953	1	0:00:00.187554
96	1	1	0.953	1	0:00:00.185778
97	7	7	0.576	1	0:00:00.186439
98	6	6	0.599	1	0:00:00.187083
99	9	9	0.852	1	0:00:00.184867
100	6	6	0.602	1	0:00:00.187868
101	0	0	0.953	1	0:00:00.185102
102	5	5	0.922	1	0:00:00.186348
103	4	4	0.953	1	0:00:00.186193
104	9	9	0.275	1	0:00:00.185489
105	9	9	0.777	1	0:00:00.185281
106	2	2	0.953	1	0:00:00.186072
107	1	1	0.668	1	0:00:00.184721
108	9	9	0.767	1	0:00:00.185594
109	4	4	0.64	1	0:00:00.185916
110	8	8	0.457	1	0:00:00.185458
111	7	7	0.435	1	0:00:00.186122
112	3	3	0.582	1	0:00:00.185199
113	9	9	0.497	1	0:00:00.185059
114	7	7	0.0348	1	0:00:00.186158
115	4	4	0.316	1	0:00:00.185559
116	4	4	0.465	1	0:00:00.186881
117	4	4	0.953	1	0:00:00.185704
118	9	9	0.486	1	0:00:00.186511
119	2	2	0.953	1	0:00:00.184706
120	5	5	0.953	1	0:00:00.185681
121	4	4	0.59	1	0:00:00.185330
122	7	7	0.664	1	0:00:00.186863
123	6	6	0.73	1	0:00:00.185790
124	7	7	0.833	1	0:00:00.186222
125	9	9	0.0931	1	0:00:00.186024
126	0	3	0.208	0	0:00:00.186151
127	5	5	0.953	1	0:00:00.185677
128	8	8	0.761	1	0:00:00.187042
129	5	5	0.922	1	0:00:00.186708
130	6	6	0.953	1	0:00:00.186673
131	6	6	0.953	1	0:00:00.186351
132	5	5	0.953	1	0:00:00.186696
133	7	7	0.953	1	0:00:00.186983
134	8	8	0.898	1	0:00:00.186116
135	1	1	0.607	1	0:00:00.185530
136	0	0	0.526	1	0:00:00.185369
137	1	1	0.355	1	0:00:00.186293
138	6	6	0.953	1	0:00:00.185708
139	4	4	0.412	1	0:00:00.186283
140	6	6	0.561	1	0:00:00.187153
141	7	7	0.772	1	0:00:00.186948
142	3	3	0.953	1	0:00:00.185631
143	1	1	0.531	1	0:00:00.185586
144	7	7	0.877	1	0:00:00.185802
145	1	1	0.546	1	0:00:00.185171
146	8	8	0.935	1	0:00:00.186627
147	2	2	0.953	1	0:00:00.186421
148	0	0	0.682	1	0:00:00.186912
149	2	2	0.731	1	0:00:00.185047
150	9	9	0.672	1	0:00:00.186245
151	9	9	0.0689	1	0:00:00.186587
152	5	5	0.935	1	0:00:00.185649
153	5	5	0.818	1	0:00:00.185678
154	1	1	0.659	1	0:00:00.185628
155	5	5	0.953	1	0:00:00.185399
156	6	6	0.953	1	0:00:00.185910
