idx	label	predict	radius	correct	time
0	7	7	0.953	1	0:00:00.185241
1	2	2	0.953	1	0:00:00.184792
2	1	1	0.953	1	0:00:00.184536
3	0	0	0.953	1	0:00:00.186344
4	4	4	0.763	1	0:00:00.184933
5	1	1	0.953	1	0:00:00.184999
6	4	4	0.335	1	0:00:00.184912
7	9	9	0.0227	1	0:00:00.184692
8	5	5	0.953	1	0:00:00.184698
9	9	9	0.953	1	0:00:00.185254
10	0	0	0.953	1	0:00:00.185308
11	6	6	0.953	1	0:00:00.184947
12	9	9	0.886	1	0:00:00.185027
13	0	0	0.953	1	0:00:00.185219
14	1	1	0.953	1	0:00:00.184474
15	5	5	0.953	1	0:00:00.184842
16	9	9	0.833	1	0:00:00.185492
17	7	7	0.953	1	0:00:00.185362
18	3	3	0.807	1	0:00:00.185054
19	4	4	0.953	1	0:00:00.184672
20	9	9	0.953	1	0:00:00.185057
21	6	6	0.913	1	0:00:00.185006
22	6	6	0.953	1	0:00:00.185339
23	5	5	0.953	1	0:00:00.184505
24	4	4	0.218	1	0:00:00.185602
25	0	0	0.953	1	0:00:00.185315
26	7	7	0.448	1	0:00:00.184487
27	4	4	0.953	1	0:00:00.185184
28	0	0	0.953	1	0:00:00.185752
29	1	1	0.953	1	0:00:00.185414
30	3	3	0.953	1	0:00:00.184731
31	1	1	0.953	1	0:00:00.184799
32	3	3	0.953	1	0:00:00.185063
33	4	4	0.536	1	0:00:00.184928
34	7	7	0.953	1	0:00:00.185278
35	2	2	0.953	1	0:00:00.185311
36	7	7	0.254	1	0:00:00.184939
37	1	1	0.953	1	0:00:00.184948
38	2	2	0.953	1	0:00:00.184546
39	1	1	0.953	1	0:00:00.184760
40	1	1	0.953	1	0:00:00.184772
41	7	7	0.121	1	0:00:00.184771
42	4	4	0.953	1	0:00:00.184994
43	2	2	0.886	1	0:00:00.185447
44	3	3	0.935	1	0:00:00.184524
45	5	5	0.913	1	0:00:00.185048
46	1	1	0.935	1	0:00:00.184896
47	2	2	0.953	1	0:00:00.184707
48	4	4	0.953	1	0:00:00.184769
49	4	4	0.953	1	0:00:00.184904
50	6	6	0.314	1	0:00:00.184818
51	3	3	0.953	1	0:00:00.184918
52	5	5	0.953	1	0:00:00.184500
53	5	5	0.953	1	0:00:00.185162
54	6	6	0.953	1	0:00:00.184623
55	0	0	0.953	1	0:00:00.184789
56	4	4	0.953	1	0:00:00.184991
57	1	1	0.953	1	0:00:00.185093
58	9	9	0.953	1	0:00:00.184881
59	5	5	0.953	1	0:00:00.185091
60	7	7	0.953	1	0:00:00.184409
61	8	8	0.865	1	0:00:00.185340
62	9	9	0.669	1	0:00:00.184850
63	3	3	0.102	1	0:00:00.185082
64	7	2	0.519	0	0:00:00.184713
65	4	4	0.344	1	0:00:00.184579
66	6	6	0.813	1	0:00:00.184895
67	4	4	0.935	1	0:00:00.185404
68	3	3	0.953	1	0:00:00.184577
69	0	0	0.953	1	0:00:00.185068
70	7	7	0.953	1	0:00:00.184169
71	0	0	0.953	1	0:00:00.184932
72	2	2	0.953	1	0:00:00.184813
73	9	2	0.217	0	0:00:00.184766
74	1	1	0.953	1	0:00:00.184777
75	7	7	0.831	1	0:00:00.184596
76	3	3	0.953	1	0:00:00.184789
77	2	2	0.664	1	0:00:00.184701
78	9	9	0.953	1	0:00:00.185726
79	7	7	0.735	1	0:00:00.184983
80	7	9	0.267	0	0:00:00.184860
81	6	6	0.953	1	0:00:00.187587
82	2	2	0.953	1	0:00:00.185434
83	7	7	0.467	1	0:00:00.185682
84	8	8	0.953	1	0:00:00.185391
85	4	4	0.953	1	0:00:00.185271
86	7	7	0.953	1	0:00:00.184944
87	3	3	0.707	1	0:00:00.185173
88	6	6	0.953	1	0:00:00.184929
89	1	1	0.953	1	0:00:00.185285
90	3	3	0.953	1	0:00:00.184959
91	6	6	0.953	1	0:00:00.184604
92	9	8	0.679	0	0:00:00.185112
93	3	3	0.953	1	0:00:00.184953
94	1	1	0.953	1	0:00:00.185359
95	4	4	0.601	1	0:00:00.185062
96	1	1	0.953	1	0:00:00.184417
97	7	7	0.329	1	0:00:00.185206
98	6	6	0.953	1	0:00:00.184850
99	9	9	0.953	1	0:00:00.184491
100	6	6	0.953	1	0:00:00.185057
101	0	0	0.953	1	0:00:00.184807
102	5	5	0.953	1	0:00:00.184754
103	4	4	0.953	1	0:00:00.184768
104	9	9	0.741	1	0:00:00.185077
105	9	9	0.953	1	0:00:00.184984
106	2	2	0.953	1	0:00:00.185122
107	1	1	0.436	1	0:00:00.184870
108	9	9	0.953	1	0:00:00.185050
109	4	4	0.953	1	0:00:00.185377
110	8	8	0.953	1	0:00:00.185210
111	7	7	0.329	1	0:00:00.185117
112	3	3	0.953	1	0:00:00.184610
113	9	9	0.953	1	0:00:00.184969
114	7	7	0.877	1	0:00:00.184710
115	4	4	0.803	1	0:00:00.185032
116	4	4	0.953	1	0:00:00.185357
117	4	4	0.922	1	0:00:00.184566
118	9	9	0.689	1	0:00:00.184390
119	2	2	0.807	1	0:00:00.184987
120	5	5	0.953	1	0:00:00.184829
121	4	8	0.351	0	0:00:00.185203
122	7	7	0.953	1	0:00:00.185143
123	6	6	0.953	1	0:00:00.184984
124	7	7	0.953	1	0:00:00.185216
125	9	9	0.693	1	0:00:00.185216
126	0	0	0.953	1	0:00:00.185329
127	5	5	0.953	1	0:00:00.185112
128	8	8	0.953	1	0:00:00.186104
129	5	5	0.953	1	0:00:00.184795
130	6	6	0.953	1	0:00:00.184859
131	6	6	0.953	1	0:00:00.184676
132	5	5	0.953	1	0:00:00.185197
133	7	-1	0.0	0	0:00:00.185143
134	8	8	0.953	1	0:00:00.184765
135	1	1	0.953	1	0:00:00.185091
136	0	0	0.953	1	0:00:00.185178
137	1	1	0.953	1	0:00:00.185027
138	6	6	0.953	1	0:00:00.185092
139	4	4	0.953	1	0:00:00.184957
140	6	6	0.953	1	0:00:00.185272
141	7	7	0.953	1	0:00:00.184727
142	3	3	0.953	1	0:00:00.185175
143	1	1	0.953	1	0:00:00.185013
144	7	7	0.0563	1	0:00:00.184556
145	1	1	0.953	1	0:00:00.184778
146	8	8	0.953	1	0:00:00.185131
147	2	2	0.953	1	0:00:00.184864
148	0	0	0.953	1	0:00:00.185251
149	2	2	0.842	1	0:00:00.184622
150	9	9	0.953	1	0:00:00.184960
151	9	9	0.318	1	0:00:00.185425
152	5	5	0.953	1	0:00:00.185224
153	5	5	0.935	1	0:00:00.185364
154	1	1	0.953	1	0:00:00.184884
155	5	5	0.953	1	0:00:00.184460
156	6	6	0.953	1	0:00:00.184837
157	0	0	0.953	1	0:00:00.184971
158	3	3	0.0747	1	0:00:00.185486
159	4	4	0.625	1	0:00:00.185227
160	4	4	0.953	1	0:00:00.184520
161	6	5	0.275	0	0:00:00.185117
162	5	5	0.953	1	0:00:00.185313
163	4	4	0.953	1	0:00:00.185071
164	6	6	0.935	1	0:00:00.185186
165	5	5	0.953	1	0:00:00.185107
166	4	4	0.953	1	0:00:00.185000
167	5	5	0.953	1	0:00:00.185083
168	1	1	0.953	1	0:00:00.184723
169	4	4	0.892	1	0:00:00.185490
170	4	4	0.804	1	0:00:00.185540
171	7	2	0.922	0	0:00:00.184463
172	2	2	0.953	1	0:00:00.184929
173	3	3	0.953	1	0:00:00.184881
174	2	2	0.953	1	0:00:00.185239
175	7	1	0.159	0	0:00:00.185038
176	1	1	0.953	1	0:00:00.184901
177	8	8	0.953	1	0:00:00.184702
178	1	1	0.953	1	0:00:00.185421
179	8	8	0.953	1	0:00:00.184955
180	1	1	0.953	1	0:00:00.184465
181	8	8	0.953	1	0:00:00.185197
182	5	5	0.953	1	0:00:00.184821
183	0	0	0.953	1	0:00:00.185240
184	8	8	0.847	1	0:00:00.184993
185	9	9	0.953	1	0:00:00.184838
186	2	2	0.953	1	0:00:00.185278
187	5	5	0.953	1	0:00:00.184729
188	0	0	0.953	1	0:00:00.185441
189	1	1	0.913	1	0:00:00.185135
190	1	1	0.953	1	0:00:00.185001
191	1	1	0.953	1	0:00:00.184824
192	0	0	0.953	1	0:00:00.184957
193	9	9	0.886	1	0:00:00.184954
194	0	0	0.953	1	0:00:00.185279
195	3	3	0.953	1	0:00:00.184972
196	1	1	0.953	1	0:00:00.184872
197	6	6	0.953	1	0:00:00.185134
198	4	4	0.761	1	0:00:00.184717
199	2	2	0.26	1	0:00:00.185022
200	3	3	0.953	1	0:00:00.185495
201	6	6	0.953	1	0:00:00.185145
202	1	1	0.953	1	0:00:00.185244
203	1	1	0.953	1	0:00:00.184905
204	1	1	0.953	1	0:00:00.184997
205	3	3	0.953	1	0:00:00.184762
206	9	9	0.833	1	0:00:00.185317
207	5	5	0.953	1	0:00:00.184806
208	2	2	0.953	1	0:00:00.184884
209	9	9	0.953	1	0:00:00.184453
210	4	4	0.869	1	0:00:00.185144
211	5	5	0.953	1	0:00:00.184952
212	9	9	0.953	1	0:00:00.184993
213	3	3	0.953	1	0:00:00.185346
214	9	9	0.953	1	0:00:00.185515
215	0	0	0.953	1	0:00:00.184914
216	3	3	0.953	1	0:00:00.185174
217	6	6	0.953	1	0:00:00.185033
218	5	5	0.953	1	0:00:00.185160
219	5	5	0.935	1	0:00:00.185254
220	7	7	0.953	1	0:00:00.184974
221	2	2	0.953	1	0:00:00.184477
222	2	2	0.222	1	0:00:00.185163
223	7	7	0.953	1	0:00:00.185164
224	1	1	0.953	1	0:00:00.185879
225	2	2	0.953	1	0:00:00.184930
226	8	8	0.953	1	0:00:00.185044
227	4	4	0.935	1	0:00:00.184914
228	1	1	0.953	1	0:00:00.186020
229	7	7	0.953	1	0:00:00.185313
230	3	3	0.953	1	0:00:00.184684
231	3	3	0.935	1	0:00:00.185422
232	8	8	0.953	1	0:00:00.185192
233	8	8	0.739	1	0:00:00.184795
234	7	7	0.572	1	0:00:00.185502
