idx	label	predict	radius	correct	time
0	7	7	0.953	1	0:00:00.187413
1	2	2	0.953	1	0:00:00.185591
2	1	1	0.953	1	0:00:00.186415
3	0	0	0.636	1	0:00:00.187721
4	4	4	0.422	1	0:00:00.186527
5	1	1	0.953	1	0:00:00.185934
6	4	4	0.72	1	0:00:00.186387
7	9	9	0.734	1	0:00:00.187041
8	5	5	0.615	1	0:00:00.187485
9	9	9	0.0674	1	0:00:00.187174
10	0	0	0.953	1	0:00:00.186700
11	6	6	0.953	1	0:00:00.186060
12	9	9	0.705	1	0:00:00.187039
13	0	0	0.723	1	0:00:00.186473
14	1	1	0.953	1	0:00:00.188291
15	5	5	0.892	1	0:00:00.186136
16	9	9	0.795	1	0:00:00.188608
17	7	7	0.953	1	0:00:00.187511
18	3	3	0.582	1	0:00:00.187644
19	4	4	0.808	1	0:00:00.186779
20	9	9	0.175	1	0:00:00.185636
21	6	6	0.842	1	0:00:00.186544
22	6	6	0.881	1	0:00:00.186878
23	5	5	0.922	1	0:00:00.186327
24	4	4	0.392	1	0:00:00.186511
25	0	0	0.953	1	0:00:00.184857
26	7	7	0.935	1	0:00:00.185796
27	4	4	0.935	1	0:00:00.185320
28	0	0	0.787	1	0:00:00.185521
29	1	1	0.953	1	0:00:00.186505
30	3	3	0.731	1	0:00:00.185937
31	1	1	0.953	1	0:00:00.187204
32	3	3	0.953	1	0:00:00.187111
33	4	4	0.953	1	0:00:00.185560
34	7	7	0.905	1	0:00:00.186543
35	2	2	0.953	1	0:00:00.186901
36	7	7	0.905	1	0:00:00.186677
37	1	1	0.953	1	0:00:00.185436
38	2	2	0.881	1	0:00:00.187342
39	1	1	0.953	1	0:00:00.185656
40	1	1	0.953	1	0:00:00.185457
41	7	7	0.514	1	0:00:00.185728
42	4	4	0.76	1	0:00:00.186977
43	2	2	0.463	1	0:00:00.185359
44	3	3	0.0908	1	0:00:00.185523
45	5	5	0.319	1	0:00:00.185722
46	1	1	0.953	1	0:00:00.186249
47	2	2	0.869	1	0:00:00.185945
48	4	4	0.886	1	0:00:00.187120
49	4	4	0.953	1	0:00:00.186816
50	6	6	0.767	1	0:00:00.186342
51	3	3	0.953	1	0:00:00.187260
52	5	5	0.953	1	0:00:00.187021
53	5	5	0.747	1	0:00:00.187305
54	6	6	0.953	1	0:00:00.186878
55	0	0	0.493	1	0:00:00.186674
56	4	4	0.953	1	0:00:00.186760
57	1	1	0.953	1	0:00:00.187604
58	9	9	0.644	1	0:00:00.187441
59	5	5	0.905	1	0:00:00.187391
60	7	7	0.953	1	0:00:00.186772
61	8	-1	0.0	0	0:00:00.186158
62	9	9	0.153	1	0:00:00.187914
63	3	3	0.0153	1	0:00:00.185922
64	7	7	0.953	1	0:00:00.187074
65	4	4	0.0203	1	0:00:00.188800
66	6	6	0.618	1	0:00:00.186733
67	4	4	0.953	1	0:00:00.185785
68	3	3	0.953	1	0:00:00.184919
69	0	0	0.546	1	0:00:00.186779
70	7	7	0.953	1	0:00:00.185704
71	0	0	0.953	1	0:00:00.187245
72	2	2	0.935	1	0:00:00.186728
73	9	9	0.151	1	0:00:00.185695
74	1	1	0.953	1	0:00:00.184992
75	7	7	0.844	1	0:00:00.185622
76	3	3	0.46	1	0:00:00.187014
77	2	2	0.784	1	0:00:00.186673
