idx	label	predict	radius	correct	time
0	7	7	0.953	1	0:00:00.214492
1	2	2	0.953	1	0:00:00.188971
2	1	1	0.953	1	0:00:00.184003
3	0	0	0.953	1	0:00:00.184567
4	4	4	0.953	1	0:00:00.184387
5	1	1	0.953	1	0:00:00.184308
6	4	4	0.953	1	0:00:00.185025
7	9	9	0.935	1	0:00:00.183955
8	5	5	0.773	1	0:00:00.184194
9	9	9	0.953	1	0:00:00.184020
10	0	0	0.953	1	0:00:00.184575
11	6	6	0.953	1	0:00:00.184736
12	9	9	0.953	1	0:00:00.184542
13	0	0	0.953	1	0:00:00.184216
14	1	1	0.953	1	0:00:00.184243
15	5	5	0.953	1	0:00:00.184896
16	9	9	0.953	1	0:00:00.185025
17	7	7	0.953	1	0:00:00.184598
18	3	3	0.463	1	0:00:00.185317
19	4	4	0.953	1	0:00:00.184240
20	9	9	0.953	1	0:00:00.184807
21	6	6	0.953	1	0:00:00.184684
22	6	6	0.935	1	0:00:00.184689
23	5	5	0.953	1	0:00:00.185395
24	4	4	0.823	1	0:00:00.184273
25	0	0	0.953	1	0:00:00.184297
26	7	7	0.64	1	0:00:00.184353
27	4	4	0.953	1	0:00:00.184772
28	0	0	0.953	1	0:00:00.184429
29	1	1	0.953	1	0:00:00.184535
30	3	3	0.953	1	0:00:00.184675
31	1	1	0.953	1	0:00:00.184568
32	3	3	0.953	1	0:00:00.184508
33	4	4	0.953	1	0:00:00.184193
34	7	7	0.953	1	0:00:00.184536
35	2	2	0.953	1	0:00:00.183925
36	7	7	0.953	1	0:00:00.184390
37	1	1	0.953	1	0:00:00.184044
38	2	2	0.953	1	0:00:00.184003
39	1	1	0.953	1	0:00:00.184132
40	1	1	0.953	1	0:00:00.183779
41	7	7	0.898	1	0:00:00.184292
42	4	4	0.953	1	0:00:00.184608
43	2	2	0.835	1	0:00:00.184325
44	3	3	0.953	1	0:00:00.184577
45	5	5	0.953	1	0:00:00.184517
46	1	1	0.953	1	0:00:00.184525
47	2	2	0.953	1	0:00:00.184248
48	4	4	0.953	1	0:00:00.185898
49	4	4	0.953	1	0:00:00.184353
50	6	6	0.922	1	0:00:00.184608
51	3	3	0.953	1	0:00:00.184645
52	5	5	0.953	1	0:00:00.184561
53	5	5	0.953	1	0:00:00.184828
54	6	6	0.953	1	0:00:00.184506
55	0	0	0.953	1	0:00:00.184697
56	4	4	0.953	1	0:00:00.184342
57	1	1	0.953	1	0:00:00.184205
58	9	9	0.953	1	0:00:00.184465
59	5	5	0.953	1	0:00:00.184880
60	7	7	0.953	1	0:00:00.184359
61	8	8	0.953	1	0:00:00.184643
62	9	4	0.135	0	0:00:00.184176
63	3	3	0.953	1	0:00:00.184610
64	7	7	0.953	1	0:00:00.186283
65	4	4	0.304	1	0:00:00.184760
66	6	6	0.953	1	0:00:00.184349
67	4	4	0.953	1	0:00:00.184461
68	3	3	0.953	1	0:00:00.184314
69	0	0	0.953	1	0:00:00.184579
70	7	7	0.953	1	0:00:00.184317
71	0	0	0.953	1	0:00:00.184338
72	2	2	0.953	1	0:00:00.183854
73	9	9	0.496	1	0:00:00.184967
74	1	1	0.953	1	0:00:00.184144
75	7	7	0.953	1	0:00:00.183908
76	3	3	0.953	1	0:00:00.184072
77	2	2	0.953	1	0:00:00.184331
78	9	9	0.953	1	0:00:00.183998
79	7	7	0.953	1	0:00:00.184434
80	7	7	0.953	1	0:00:00.184250
81	6	6	0.953	1	0:00:00.184459
82	2	2	0.953	1	0:00:00.184237
83	7	7	0.953	1	0:00:00.184092
84	8	8	0.953	1	0:00:00.184123
85	4	4	0.953	1	0:00:00.183777
86	7	7	0.953	1	0:00:00.184393
87	3	3	0.953	1	0:00:00.184625
88	6	6	0.953	1	0:00:00.184608
89	1	1	0.953	1	0:00:00.186185
90	3	3	0.953	1	0:00:00.185918
91	6	6	0.953	1	0:00:00.185017
92	9	4	0.35	0	0:00:00.184086
93	3	3	0.953	1	0:00:00.184381
94	1	1	0.953	1	0:00:00.184592
95	4	4	0.953	1	0:00:00.184104
96	1	1	0.953	1	0:00:00.184231
97	7	7	0.953	1	0:00:00.184761
98	6	6	0.953	1	0:00:00.184635
99	9	9	0.953	1	0:00:00.184397
100	6	6	0.953	1	0:00:00.184454
101	0	0	0.953	1	0:00:00.184509
102	5	5	0.953	1	0:00:00.184643
103	4	4	0.953	1	0:00:00.184662
104	9	9	0.953	1	0:00:00.184870
105	9	9	0.953	1	0:00:00.186286
106	2	2	0.953	1	0:00:00.186753
107	1	1	0.953	1	0:00:00.186052
108	9	9	0.953	1	0:00:00.186236
109	4	4	0.953	1	0:00:00.186482
110	8	8	0.953	1	0:00:00.185989
111	7	7	0.514	1	0:00:00.186085
112	3	3	0.953	1	0:00:00.186329
113	9	9	0.953	1	0:00:00.186281
114	7	7	0.922	1	0:00:00.185195
115	4	4	0.881	1	0:00:00.184193
116	4	4	0.789	1	0:00:00.185078
117	4	4	0.953	1	0:00:00.185031
118	9	9	0.953	1	0:00:00.184978
119	2	2	0.898	1	0:00:00.184846
120	5	5	0.953	1	0:00:00.184655
121	4	4	0.869	1	0:00:00.184363
122	7	7	0.953	1	0:00:00.184694
123	6	6	0.953	1	0:00:00.185755
124	7	7	0.953	1	0:00:00.184791
125	9	9	0.727	1	0:00:00.184587
126	0	0	0.953	1	0:00:00.184411
127	5	5	0.953	1	0:00:00.184349
128	8	8	0.953	1	0:00:00.184621
129	5	5	0.953	1	0:00:00.184703
130	6	6	0.953	1	0:00:00.184518
131	6	6	0.953	1	0:00:00.187099
132	5	5	0.953	1	0:00:00.184588
133	7	7	0.905	1	0:00:00.184487
134	8	8	0.953	1	0:00:00.184705
135	1	1	0.953	1	0:00:00.184217
136	0	0	0.953	1	0:00:00.184859
137	1	1	0.953	1	0:00:00.184186
138	6	6	0.953	1	0:00:00.184431
139	4	4	0.953	1	0:00:00.184432
140	6	6	0.953	1	0:00:00.184397
141	7	7	0.953	1	0:00:00.184043
142	3	3	0.567	1	0:00:00.184010
143	1	1	0.953	1	0:00:00.184001
144	7	7	0.953	1	0:00:00.184532
145	1	1	0.953	1	0:00:00.184482
146	8	8	0.953	1	0:00:00.184745
147	2	2	0.953	1	0:00:00.184742
148	0	0	0.953	1	0:00:00.185240
149	2	2	0.953	1	0:00:00.184504
150	9	9	0.953	1	0:00:00.185052
151	9	9	0.647	1	0:00:00.184503
152	5	5	0.953	1	0:00:00.185043
153	5	5	0.898	1	0:00:00.184856
154	1	1	0.953	1	0:00:00.184449
155	5	5	0.953	1	0:00:00.184443
156	6	6	0.953	1	0:00:00.184203
157	0	0	0.953	1	0:00:00.184324
158	3	3	0.285	1	0:00:00.184366
159	4	4	0.69	1	0:00:00.184475
160	4	4	0.455	1	0:00:00.184057
161	6	6	0.953	1	0:00:00.183918
162	5	5	0.953	1	0:00:00.185250
163	4	4	0.953	1	0:00:00.184248
164	6	6	0.953	1	0:00:00.184632
165	5	5	0.953	1	0:00:00.184719
166	4	4	0.953	1	0:00:00.184345
167	5	5	0.953	1	0:00:00.184840
168	1	1	0.953	1	0:00:00.184676
169	4	4	0.953	1	0:00:00.184264
170	4	4	0.935	1	0:00:00.184310
171	7	7	0.953	1	0:00:00.184465
172	2	2	0.81	1	0:00:00.184575
173	3	3	0.953	1	0:00:00.185525
174	2	2	0.953	1	0:00:00.184845
175	7	1	0.104	0	0:00:00.184426
176	1	1	0.953	1	0:00:00.184728
177	8	8	0.953	1	0:00:00.185762
178	1	1	0.953	1	0:00:00.183945
179	8	8	0.935	1	0:00:00.184065
180	1	1	0.953	1	0:00:00.183786
181	8	8	0.953	1	0:00:00.183846
182	5	5	0.953	1	0:00:00.184410
183	0	0	0.953	1	0:00:00.184950
184	8	8	0.953	1	0:00:00.184084
185	9	9	0.478	1	0:00:00.184578
186	2	2	0.953	1	0:00:00.184393
187	5	5	0.953	1	0:00:00.184280
188	0	0	0.953	1	0:00:00.184720
189	1	1	0.953	1	0:00:00.184320
190	1	1	0.953	1	0:00:00.184027
191	1	1	0.953	1	0:00:00.184092
192	0	0	0.953	1	0:00:00.184309
193	9	9	0.179	1	0:00:00.184592
194	0	0	0.953	1	0:00:00.184413
195	3	2	0.146	0	0:00:00.184108
196	1	1	0.953	1	0:00:00.184554
197	6	6	0.953	1	0:00:00.184433
198	4	4	0.953	1	0:00:00.184522
199	2	2	0.892	1	0:00:00.184218
200	3	3	0.953	1	0:00:00.184272
201	6	6	0.953	1	0:00:00.184203
202	1	1	0.953	1	0:00:00.183744
203	1	1	0.953	1	0:00:00.184211
204	1	1	0.953	1	0:00:00.185996
205	3	3	0.953	1	0:00:00.185164
206	9	9	0.953	1	0:00:00.184278
207	5	5	0.953	1	0:00:00.184349
208	2	2	0.953	1	0:00:00.184212
209	9	9	0.953	1	0:00:00.184113
210	4	4	0.953	1	0:00:00.184436
211	5	5	0.392	1	0:00:00.184559
212	9	9	0.953	1	0:00:00.184521
213	3	3	0.953	1	0:00:00.184857
214	9	9	0.953	1	0:00:00.184698
215	0	0	0.953	1	0:00:00.185136
216	3	3	0.953	1	0:00:00.184433
217	6	6	0.953	1	0:00:00.185910
218	5	5	0.953	1	0:00:00.185719
219	5	5	0.953	1	0:00:00.184428
220	7	7	0.953	1	0:00:00.184371
221	2	2	0.953	1	0:00:00.184886
222	2	2	0.953	1	0:00:00.184591
223	7	7	0.953	1	0:00:00.185147
224	1	1	0.953	1	0:00:00.184209
225	2	2	0.953	1	0:00:00.184693
226	8	8	0.953	1	0:00:00.184834
227	4	4	0.953	1	0:00:00.184205
228	1	1	0.953	1	0:00:00.183981
229	7	7	0.953	1	0:00:00.184161
230	3	3	0.953	1	0:00:00.183837
231	3	3	0.953	1	0:00:00.184042
232	8	8	0.953	1	0:00:00.184387
233	8	8	0.953	1	0:00:00.184285
234	7	7	0.953	1	0:00:00.184703
235	9	9	0.76	1	0:00:00.184191
236	2	2	0.953	1	0:00:00.184161
237	2	2	0.953	1	0:00:00.184306
238	4	4	0.953	1	0:00:00.184677
239	1	1	0.953	1	0:00:00.184566
240	5	5	0.953	1	0:00:00.184500
241	9	9	0.341	1	0:00:00.184606
242	8	8	0.953	1	0:00:00.184720
243	7	7	0.953	1	0:00:00.184602
244	2	2	0.858	1	0:00:00.184766
245	3	3	0.922	1	0:00:00.184576
246	0	0	0.953	1	0:00:00.184857
247	4	4	0.0392	1	0:00:00.184509
248	4	4	0.953	1	0:00:00.185515
249	2	2	0.922	1	0:00:00.185427
250	4	-1	0.0	0	0:00:00.184490
251	1	1	0.953	1	0:00:00.184326
252	9	9	0.953	1	0:00:00.185081
253	5	5	0.953	1	0:00:00.184543
254	7	7	0.953	1	0:00:00.184525
255	7	7	0.905	1	0:00:00.185007
256	2	2	0.953	1	0:00:00.184586
257	8	8	0.709	1	0:00:00.184471
258	2	2	0.953	1	0:00:00.185326
259	6	0	0.953	0	0:00:00.184712
260	8	8	0.953	1	0:00:00.184407
261	5	5	0.953	1	0:00:00.184531
262	7	7	0.953	1	0:00:00.184661
263	7	7	0.953	1	0:00:00.184392
264	9	4	0.0678	0	0:00:00.185033
265	1	1	0.953	1	0:00:00.184361
266	8	8	0.913	1	0:00:00.184452
267	1	1	0.953	1	0:00:00.184272
268	8	8	0.953	1	0:00:00.184369
269	0	0	0.953	1	0:00:00.184601
270	3	3	0.953	1	0:00:00.184249
271	0	0	0.953	1	0:00:00.184255
272	1	1	0.953	1	0:00:00.184302
273	9	9	0.935	1	0:00:00.185892
274	9	9	0.922	1	0:00:00.184597
275	4	4	0.953	1	0:00:00.184287
276	1	1	0.953	1	0:00:00.184216
277	8	8	0.953	1	0:00:00.184145
278	2	2	0.953	1	0:00:00.184338
279	1	1	0.953	1	0:00:00.184391
280	2	2	0.953	1	0:00:00.184529
281	9	9	0.805	1	0:00:00.184655
282	7	7	0.581	1	0:00:00.184537
283	5	5	0.953	1	0:00:00.184461
284	9	9	0.953	1	0:00:00.184350
285	2	2	0.953	1	0:00:00.184502
286	6	6	0.953	1	0:00:00.184859
287	4	4	0.953	1	0:00:00.184378
288	1	1	0.953	1	0:00:00.184645
289	5	5	0.547	1	0:00:00.184129
