idx	label	predict	radius	correct	time
0	7	7	0.953	1	0:00:00.184636
1	2	2	0.953	1	0:00:00.183915
2	1	1	0.953	1	0:00:00.183647
3	0	0	0.953	1	0:00:00.183830
4	4	4	0.953	1	0:00:00.183956
5	1	1	0.953	1	0:00:00.183576
6	4	4	0.953	1	0:00:00.183835
7	9	9	0.953	1	0:00:00.183645
8	5	5	0.953	1	0:00:00.183590
9	9	9	0.953	1	0:00:00.183758
10	0	0	0.953	1	0:00:00.183913
11	6	6	0.953	1	0:00:00.183829
12	9	9	0.935	1	0:00:00.183870
13	0	0	0.953	1	0:00:00.183702
14	1	1	0.953	1	0:00:00.183804
15	5	5	0.953	1	0:00:00.183785
16	9	9	0.935	1	0:00:00.183833
17	7	7	0.953	1	0:00:00.183851
18	3	3	0.351	1	0:00:00.183877
19	4	4	0.953	1	0:00:00.184026
20	9	9	0.935	1	0:00:00.183818
21	6	6	0.953	1	0:00:00.183906
22	6	6	0.953	1	0:00:00.183767
23	5	5	0.953	1	0:00:00.183586
24	4	4	0.953	1	0:00:00.183684
25	0	0	0.953	1	0:00:00.183868
26	7	7	0.953	1	0:00:00.183575
27	4	4	0.953	1	0:00:00.183703
28	0	0	0.953	1	0:00:00.183978
29	1	1	0.953	1	0:00:00.183735
30	3	3	0.953	1	0:00:00.183621
31	1	1	0.953	1	0:00:00.183570
32	3	3	0.953	1	0:00:00.183530
33	4	4	0.953	1	0:00:00.183788
34	7	7	0.953	1	0:00:00.183642
35	2	2	0.953	1	0:00:00.183713
36	7	7	0.953	1	0:00:00.183718
37	1	1	0.953	1	0:00:00.183658
38	2	2	0.953	1	0:00:00.183813
39	1	1	0.935	1	0:00:00.183880
40	1	1	0.953	1	0:00:00.183622
41	7	7	0.953	1	0:00:00.183805
42	4	4	0.953	1	0:00:00.183631
43	2	2	0.953	1	0:00:00.183768
44	3	3	0.953	1	0:00:00.183774
45	5	5	0.953	1	0:00:00.183722
46	1	1	0.953	1	0:00:00.183638
47	2	2	0.953	1	0:00:00.183591
48	4	4	0.953	1	0:00:00.183882
49	4	4	0.953	1	0:00:00.183802
50	6	6	0.953	1	0:00:00.183730
51	3	3	0.953	1	0:00:00.183952
52	5	5	0.953	1	0:00:00.183814
53	5	5	0.953	1	0:00:00.183882
54	6	6	0.953	1	0:00:00.183938
55	0	0	0.953	1	0:00:00.184148
56	4	4	0.953	1	0:00:00.183652
57	1	1	0.953	1	0:00:00.183534
58	9	9	0.953	1	0:00:00.183766
59	5	5	0.953	1	0:00:00.183606
60	7	7	0.953	1	0:00:00.183563
61	8	8	0.953	1	0:00:00.183591
62	9	9	0.441	1	0:00:00.183593
63	3	3	0.892	1	0:00:00.183848
64	7	7	0.953	1	0:00:00.184008
65	4	4	0.886	1	0:00:00.183809
66	6	6	0.953	1	0:00:00.183777
67	4	4	0.953	1	0:00:00.183765
68	3	3	0.953	1	0:00:00.184012
69	0	0	0.953	1	0:00:00.183801
70	7	7	0.953	1	0:00:00.183801
71	0	0	0.953	1	0:00:00.184040
72	2	2	0.953	1	0:00:00.183636
73	9	9	0.764	1	0:00:00.183799
74	1	1	0.953	1	0:00:00.183880
75	7	7	0.953	1	0:00:00.183954
76	3	3	0.953	1	0:00:00.183766
77	2	2	0.953	1	0:00:00.183712
78	9	9	0.892	1	0:00:00.183794
79	7	7	0.953	1	0:00:00.183566
80	7	7	0.847	1	0:00:00.183640
81	6	6	0.953	1	0:00:00.183765
82	2	2	0.953	1	0:00:00.184080
83	7	7	0.953	1	0:00:00.183722
