idx	label	predict	radius	correct	time
0	7	7	0.953	1	0:00:00.185253
1	2	2	0.953	1	0:00:00.183757
2	1	1	0.953	1	0:00:00.185032
3	0	0	0.953	1	0:00:00.183873
4	4	4	0.953	1	0:00:00.183779
5	1	1	0.953	1	0:00:00.183657
6	4	4	0.935	1	0:00:00.183862
7	9	9	0.953	1	0:00:00.183817
8	5	5	0.953	1	0:00:00.183819
9	9	9	0.275	1	0:00:00.185190
10	0	0	0.953	1	0:00:00.184138
11	6	6	0.953	1	0:00:00.184303
12	9	9	0.953	1	0:00:00.184140
13	0	0	0.953	1	0:00:00.184249
14	1	1	0.72	1	0:00:00.184303
15	5	5	0.953	1	0:00:00.183902
16	9	9	0.953	1	0:00:00.184641
17	7	7	0.953	1	0:00:00.184372
18	3	5	0.216	0	0:00:00.184006
19	4	4	0.953	1	0:00:00.185177
20	9	9	0.0343	1	0:00:00.184452
21	6	6	0.953	1	0:00:00.183941
22	6	6	0.953	1	0:00:00.184234
23	5	5	0.953	1	0:00:00.183889
24	4	4	0.953	1	0:00:00.184595
25	0	0	0.953	1	0:00:00.186404
26	7	7	0.873	1	0:00:00.184482
27	4	4	0.953	1	0:00:00.184306
28	0	0	0.953	1	0:00:00.184637
29	1	1	0.953	1	0:00:00.184463
30	3	3	0.953	1	0:00:00.184412
31	1	1	0.953	1	0:00:00.183903
32	3	3	0.953	1	0:00:00.184197
33	4	4	0.658	1	0:00:00.184338
34	7	7	0.953	1	0:00:00.184263
35	2	2	0.953	1	0:00:00.184733
36	7	7	0.953	1	0:00:00.184231
37	1	1	0.953	1	0:00:00.184260
38	2	2	0.953	1	0:00:00.184805
39	1	1	0.953	1	0:00:00.184134
40	1	1	0.953	1	0:00:00.184008
41	7	7	0.953	1	0:00:00.184247
42	4	4	0.953	1	0:00:00.184937
43	2	2	0.953	1	0:00:00.183930
44	3	3	0.953	1	0:00:00.184447
45	5	5	0.953	1	0:00:00.184275
46	1	1	0.953	1	0:00:00.185456
47	2	2	0.953	1	0:00:00.184912
48	4	4	0.953	1	0:00:00.184493
49	4	4	0.953	1	0:00:00.184108
50	6	6	0.953	1	0:00:00.184094
51	3	3	0.953	1	0:00:00.183781
52	5	5	0.953	1	0:00:00.184040
53	5	5	0.953	1	0:00:00.184858
54	6	6	0.953	1	0:00:00.184382
55	0	0	0.953	1	0:00:00.184445
56	4	4	0.953	1	0:00:00.184117
57	1	1	0.953	1	0:00:00.184629
58	9	9	0.331	1	0:00:00.184464
59	5	5	0.953	1	0:00:00.184524
60	7	7	0.953	1	0:00:00.184287
61	8	8	0.922	1	0:00:00.184571
62	9	9	0.839	1	0:00:00.184708
63	3	3	0.953	1	0:00:00.185985
64	7	7	0.953	1	0:00:00.184602
65	4	4	0.935	1	0:00:00.184509
66	6	6	0.953	1	0:00:00.184093
67	4	4	0.953	1	0:00:00.183969
68	3	3	0.953	1	0:00:00.184360
69	0	0	0.953	1	0:00:00.184438
70	7	7	0.953	1	0:00:00.184432
71	0	0	0.953	1	0:00:00.184535
72	2	2	0.953	1	0:00:00.184485
73	9	9	0.844	1	0:00:00.185353
74	1	1	0.953	1	0:00:00.185133
75	7	7	0.953	1	0:00:00.184427
76	3	3	0.953	1	0:00:00.184162
77	2	2	0.953	1	0:00:00.184011
78	9	9	0.953	1	0:00:00.184312
79	7	7	0.953	1	0:00:00.186270
80	7	7	0.953	1	0:00:00.184923
81	6	6	0.953	1	0:00:00.184592
82	2	2	0.953	1	0:00:00.184348
83	7	7	0.953	1	0:00:00.184507
84	8	8	0.953	1	0:00:00.185200
85	4	4	0.953	1	0:00:00.186298
86	7	7	0.953	1	0:00:00.184387
87	3	3	0.953	1	0:00:00.184127
88	6	6	0.953	1	0:00:00.184206
89	1	1	0.953	1	0:00:00.184439
90	3	3	0.953	1	0:00:00.185992
91	6	6	0.953	1	0:00:00.184906
92	9	9	0.21	1	0:00:00.184198
93	3	3	0.953	1	0:00:00.184212
94	1	1	0.953	1	0:00:00.184439
95	4	4	0.953	1	0:00:00.184814
96	1	1	0.953	1	0:00:00.184555
97	7	7	0.953	1	0:00:00.184324
98	6	6	0.953	1	0:00:00.184480
99	9	9	0.953	1	0:00:00.184566
100	6	6	0.953	1	0:00:00.184819
101	0	0	0.953	1	0:00:00.185371
102	5	5	0.953	1	0:00:00.184588
103	4	4	0.953	1	0:00:00.185471
104	9	9	0.803	1	0:00:00.184270
105	9	9	0.953	1	0:00:00.184569
106	2	2	0.953	1	0:00:00.185899
107	1	1	0.953	1	0:00:00.184500
108	9	9	0.567	1	0:00:00.184250
109	4	4	0.953	1	0:00:00.184238
110	8	8	0.953	1	0:00:00.184513
111	7	7	0.953	1	0:00:00.185104
112	3	3	0.953	1	0:00:00.185929
113	9	9	0.953	1	0:00:00.184485
114	7	7	0.953	1	0:00:00.184468
115	4	4	0.0918	1	0:00:00.184220
116	4	4	0.865	1	0:00:00.184104
117	4	4	0.953	1	0:00:00.186384
118	9	9	0.314	1	0:00:00.185026
119	2	2	0.953	1	0:00:00.184335
120	5	5	0.81	1	0:00:00.184250
121	4	4	0.953	1	0:00:00.184283
122	7	7	0.953	1	0:00:00.184597
123	6	6	0.953	1	0:00:00.184242
124	7	7	0.953	1	0:00:00.184237
125	9	9	0.953	1	0:00:00.184504
126	0	0	0.953	1	0:00:00.184778
127	5	5	0.953	1	0:00:00.184997
128	8	8	0.953	1	0:00:00.186553
129	5	5	0.953	1	0:00:00.184185
130	6	6	0.953	1	0:00:00.184399
131	6	6	0.953	1	0:00:00.184245
132	5	5	0.953	1	0:00:00.184330
133	7	7	0.953	1	0:00:00.186198
134	8	8	0.953	1	0:00:00.185543
135	1	1	0.953	1	0:00:00.184506
136	0	0	0.953	1	0:00:00.184639
137	1	1	0.48	1	0:00:00.184286
138	6	6	0.953	1	0:00:00.184541
139	4	4	0.953	1	0:00:00.184242
140	6	6	0.953	1	0:00:00.184053
141	7	7	0.953	1	0:00:00.184459
142	3	3	0.953	1	0:00:00.184629
143	1	1	0.953	1	0:00:00.184075
144	7	7	0.804	1	0:00:00.184521
145	1	1	0.953	1	0:00:00.184191
146	8	8	0.953	1	0:00:00.184745
147	2	2	0.953	1	0:00:00.184464
148	0	0	0.953	1	0:00:00.184758
149	2	2	0.877	1	0:00:00.184682
150	9	9	0.953	1	0:00:00.184344
151	9	3	0.126	0	0:00:00.184549
152	5	5	0.953	1	0:00:00.184381
153	5	5	0.873	1	0:00:00.184482
154	1	1	0.953	1	0:00:00.184316
155	5	5	0.953	1	0:00:00.185027
156	6	6	0.953	1	0:00:00.184213
157	0	0	0.953	1	0:00:00.184567
158	3	3	0.862	1	0:00:00.184264
159	4	4	0.48	1	0:00:00.183804
160	4	4	0.953	1	0:00:00.185694
161	6	6	0.953	1	0:00:00.185803
162	5	5	0.953	1	0:00:00.184311
163	4	4	0.953	1	0:00:00.184538
164	6	6	0.953	1	0:00:00.184587
165	5	5	0.953	1	0:00:00.184154
166	4	4	0.953	1	0:00:00.184162
167	5	5	0.953	1	0:00:00.184225
