idx	label	predict	radius	correct	time
0	7	7	0.953	1	0:00:00.184971
1	2	2	0.881	1	0:00:00.183443
2	1	1	0.953	1	0:00:00.183412
3	0	0	0.953	1	0:00:00.183646
4	4	4	0.953	1	0:00:00.183579
5	1	1	0.953	1	0:00:00.183135
6	4	4	0.953	1	0:00:00.183356
7	9	9	0.0856	1	0:00:00.183385
8	5	2	0.491	0	0:00:00.183664
9	9	9	0.922	1	0:00:00.183396
10	0	0	0.953	1	0:00:00.183410
11	6	6	0.953	1	0:00:00.183340
12	9	9	0.655	1	0:00:00.183303
13	0	0	0.953	1	0:00:00.183575
14	1	1	0.953	1	0:00:00.183321
15	5	5	0.953	1	0:00:00.183545
16	9	9	0.58	1	0:00:00.183326
17	7	7	0.953	1	0:00:00.183343
18	3	3	0.935	1	0:00:00.183600
19	4	4	0.953	1	0:00:00.183426
20	9	9	0.458	1	0:00:00.183493
21	6	6	0.283	1	0:00:00.183197
22	6	6	0.953	1	0:00:00.183216
23	5	2	0.08	0	0:00:00.183694
24	4	4	0.953	1	0:00:00.183178
25	0	6	0.414	0	0:00:00.183476
26	7	7	0.953	1	0:00:00.183496
27	4	4	0.953	1	0:00:00.183343
28	0	0	0.953	1	0:00:00.183364
29	1	1	0.953	1	0:00:00.183326
30	3	3	0.953	1	0:00:00.183447
31	1	1	0.953	1	0:00:00.183195
32	3	3	0.953	1	0:00:00.183267
33	4	4	0.953	1	0:00:00.183262
34	7	7	0.953	1	0:00:00.183572
35	2	2	0.723	1	0:00:00.183185
36	7	7	0.953	1	0:00:00.183443
37	1	1	0.953	1	0:00:00.183384
38	2	2	0.129	1	0:00:00.184764
39	1	1	0.953	1	0:00:00.183429
40	1	1	0.953	1	0:00:00.183192
41	7	7	0.655	1	0:00:00.183397
42	4	4	0.953	1	0:00:00.183380
43	2	4	0.953	0	0:00:00.183487
44	3	3	0.226	1	0:00:00.183232
45	5	5	0.905	1	0:00:00.183385
46	1	1	0.953	1	0:00:00.183293
47	2	2	0.615	1	0:00:00.183749
48	4	4	0.953	1	0:00:00.183675
49	4	4	0.953	1	0:00:00.183133
50	6	6	0.953	1	0:00:00.183278
51	3	3	0.714	1	0:00:00.183534
52	5	5	0.739	1	0:00:00.183521
53	5	5	0.412	1	0:00:00.183556
54	6	6	0.953	1	0:00:00.183251
55	0	0	0.953	1	0:00:00.183547
56	4	4	0.953	1	0:00:00.183430
57	1	1	0.953	1	0:00:00.183316
58	9	9	0.524	1	0:00:00.183644
59	5	5	0.605	1	0:00:00.183319
60	7	7	0.953	1	0:00:00.183217
61	8	8	0.953	1	0:00:00.183455
62	9	7	0.0153	0	0:00:00.183471
63	3	3	0.849	1	0:00:00.183563
64	7	7	0.315	1	0:00:00.183454
65	4	4	0.953	1	0:00:00.183228
66	6	6	0.953	1	0:00:00.183309
67	4	4	0.953	1	0:00:00.183494
68	3	3	0.953	1	0:00:00.183408
69	0	0	0.205	1	0:00:00.184062
70	7	7	0.953	1	0:00:00.183294
71	0	0	0.953	1	0:00:00.183291
72	2	2	0.651	1	0:00:00.183365
73	9	9	0.953	1	0:00:00.183429
74	1	1	0.953	1	0:00:00.183484
75	7	7	0.935	1	0:00:00.183266
76	3	3	0.953	1	0:00:00.183382
77	2	2	0.839	1	0:00:00.183296
78	9	4	0.0315	0	0:00:00.183157
79	7	7	0.953	1	0:00:00.183615
80	7	7	0.953	1	0:00:00.183495
81	6	6	0.953	1	0:00:00.183233
82	2	2	0.953	1	0:00:00.183544
83	7	7	0.953	1	0:00:00.183489
84	8	8	0.953	1	0:00:00.183443
85	4	4	0.953	1	0:00:00.183266
86	7	7	0.953	1	0:00:00.183236
87	3	3	0.886	1	0:00:00.183399
88	6	6	0.335	1	0:00:00.183420
89	1	1	0.785	1	0:00:00.183258
90	3	3	0.953	1	0:00:00.183594
91	6	6	0.935	1	0:00:00.183787
92	9	9	0.0586	1	0:00:00.183855
93	3	3	0.953	1	0:00:00.183249
94	1	1	0.953	1	0:00:00.183439
95	4	4	0.953	1	0:00:00.183492
96	1	1	0.953	1	0:00:00.183407
97	7	7	0.953	1	0:00:00.183313
98	6	0	0.196	0	0:00:00.184087
99	9	9	0.953	1	0:00:00.183210
100	6	6	0.922	1	0:00:00.183148
101	0	0	0.953	1	0:00:00.183436
102	5	5	0.953	1	0:00:00.183550
103	4	4	0.953	1	0:00:00.183309
104	9	9	0.422	1	0:00:00.183343
105	9	9	0.68	1	0:00:00.183641
106	2	2	0.858	1	0:00:00.183040
107	1	1	0.481	1	0:00:00.183444
108	9	9	0.865	1	0:00:00.183417
109	4	4	0.953	1	0:00:00.183297
110	8	8	0.953	1	0:00:00.183693
111	7	7	0.953	1	0:00:00.183600
112	3	3	0.953	1	0:00:00.183748
113	9	9	0.953	1	0:00:00.183550
114	7	7	0.953	1	0:00:00.183421
115	4	4	0.253	1	0:00:00.183520
116	4	4	0.953	1	0:00:00.183846
117	4	4	0.953	1	0:00:00.185480
118	9	9	0.606	1	0:00:00.185653
119	2	2	0.849	1	0:00:00.185407
120	5	5	0.552	1	0:00:00.185379
121	4	4	0.249	1	0:00:00.185502
122	7	7	0.953	1	0:00:00.185419
123	6	6	0.953	1	0:00:00.185331
124	7	7	0.529	1	0:00:00.185286
125	9	4	0.0752	0	0:00:00.185510
126	0	0	0.0695	1	0:00:00.186169
127	5	5	0.953	1	0:00:00.183382
128	8	8	0.953	1	0:00:00.183489
129	5	5	0.701	1	0:00:00.183531
130	6	6	0.953	1	0:00:00.183297
131	6	6	0.551	1	0:00:00.183401
132	5	5	0.953	1	0:00:00.183408
133	7	7	0.953	1	0:00:00.183311
134	8	8	0.953	1	0:00:00.183306
135	1	1	0.953	1	0:00:00.183350
136	0	0	0.953	1	0:00:00.183574
137	1	1	0.953	1	0:00:00.183223
138	6	6	0.661	1	0:00:00.183519
139	4	4	0.581	1	0:00:00.183249
140	6	6	0.175	1	0:00:00.184224
141	7	7	0.953	1	0:00:00.183594
142	3	3	0.953	1	0:00:00.183494
143	1	1	0.953	1	0:00:00.183283
144	7	7	0.237	1	0:00:00.183347
145	1	1	0.953	1	0:00:00.183676
146	8	8	0.953	1	0:00:00.183439
147	2	2	0.905	1	0:00:00.183644
148	0	0	0.953	1	0:00:00.183255
149	2	4	0.164	0	0:00:00.183253
150	9	9	0.922	1	0:00:00.183549
151	9	8	0.592	0	0:00:00.183768
152	5	5	0.905	1	0:00:00.183250
153	5	5	0.953	1	0:00:00.183407
154	1	1	0.953	1	0:00:00.183389
155	5	5	0.248	1	0:00:00.183404
156	6	4	0.307	0	0:00:00.183704
157	0	0	0.953	1	0:00:00.183380
158	3	3	0.563	1	0:00:00.183130
159	4	4	0.953	1	0:00:00.183733
160	4	4	0.707	1	0:00:00.183462
161	6	-1	0.0	0	0:00:00.183321
162	5	5	0.953	1	0:00:00.183459
163	4	4	0.953	1	0:00:00.183315
164	6	6	0.155	1	0:00:00.183492
165	5	5	0.953	1	0:00:00.183325
