idx	label	predict	radius	correct	time
0	7	7	0.953	1	0:00:00.184452
1	2	2	0.953	1	0:00:00.184397
2	1	1	0.125	1	0:00:00.184027
3	0	5	0.953	0	0:00:00.184343
4	4	4	0.496	1	0:00:00.183880
5	1	1	0.17	1	0:00:00.184237
6	4	4	0.827	1	0:00:00.184149
7	9	4	0.825	0	0:00:00.184003
8	5	5	0.953	1	0:00:00.185016
9	9	6	0.451	0	0:00:00.184609
10	0	2	0.744	0	0:00:00.183936
11	6	3	0.115	0	0:00:00.184042
12	9	8	0.738	0	0:00:00.184463
13	0	7	0.645	0	0:00:00.184718
14	1	1	0.0559	1	0:00:00.184799
15	5	2	0.123	0	0:00:00.183522
16	9	6	0.539	0	0:00:00.184426
17	7	7	0.953	1	0:00:00.183942
18	3	3	0.254	1	0:00:00.184646
19	4	1	0.221	0	0:00:00.186846
20	9	2	0.163	0	0:00:00.184062
21	6	5	0.362	0	0:00:00.183962
22	6	9	0.481	0	0:00:00.184042
23	5	5	0.153	1	0:00:00.183969
24	4	6	0.124	0	0:00:00.184618
25	0	6	0.953	0	0:00:00.184415
26	7	7	0.953	1	0:00:00.184215
27	4	4	0.953	1	0:00:00.183962
28	0	8	0.283	0	0:00:00.184027
29	1	1	0.317	1	0:00:00.184239
30	3	3	0.935	1	0:00:00.184616
31	1	5	0.905	0	0:00:00.184695
32	3	5	0.953	0	0:00:00.184255
33	4	2	0.953	0	0:00:00.184051
34	7	2	0.477	0	0:00:00.184357
35	2	2	0.953	1	0:00:00.185015
36	7	7	0.285	1	0:00:00.184589
37	1	4	0.709	0	0:00:00.183704
38	2	7	0.869	0	0:00:00.184022
39	1	1	0.655	1	0:00:00.183842
40	1	7	0.813	0	0:00:00.184491
41	7	2	0.095	0	0:00:00.184194
42	4	1	0.657	0	0:00:00.184621
43	2	2	0.274	1	0:00:00.184305
44	3	3	0.953	1	0:00:00.184366
45	5	8	0.321	0	0:00:00.184153
46	1	1	0.953	1	0:00:00.184181
47	2	2	0.935	1	0:00:00.184007
48	4	4	0.922	1	0:00:00.184234
49	4	4	0.2	1	0:00:00.184129
50	6	6	0.953	1	0:00:00.183740
51	3	3	0.953	1	0:00:00.184321
52	5	3	0.279	0	0:00:00.184039
53	5	5	0.849	1	0:00:00.183946
54	6	6	0.594	1	0:00:00.184323
55	0	6	0.517	0	0:00:00.184706
56	4	4	0.0725	1	0:00:00.184229
57	1	6	0.291	0	0:00:00.184145
58	9	7	0.199	0	0:00:00.183646
59	5	5	0.913	1	0:00:00.184148
60	7	0	0.479	0	0:00:00.184783
61	8	2	0.083	0	0:00:00.184126
62	9	4	0.432	0	0:00:00.183914
63	3	3	0.404	1	0:00:00.183683
64	7	-1	0.0	0	0:00:00.183893
65	4	1	0.741	0	0:00:00.184744
66	6	6	0.446	1	0:00:00.184678
67	4	4	0.559	1	0:00:00.184014
68	3	1	0.212	0	0:00:00.184351
69	0	2	0.953	0	0:00:00.183874
70	7	2	0.222	0	0:00:00.184360
71	0	6	0.953	0	0:00:00.184013
72	2	2	0.953	1	0:00:00.183947
73	9	7	0.147	0	0:00:00.184556
74	1	7	0.847	0	0:00:00.184486
75	7	7	0.786	1	0:00:00.185305
76	3	3	0.953	1	0:00:00.183897
77	2	2	0.873	1	0:00:00.184969
78	9	2	0.261	0	0:00:00.184605
79	7	7	0.726	1	0:00:00.184886
80	7	7	0.818	1	0:00:00.184432
81	6	8	0.835	0	0:00:00.184116
82	2	2	0.913	1	0:00:00.184137
83	7	0	0.693	0	0:00:00.184461
84	8	4	0.819	0	0:00:00.186409
85	4	7	0.238	0	0:00:00.187092
86	7	7	0.953	1	0:00:00.186800
87	3	3	0.913	1	0:00:00.186345
88	6	4	0.302	0	0:00:00.186624
89	1	7	0.595	0	0:00:00.187237
90	3	3	0.481	1	0:00:00.185745
91	6	6	0.794	1	0:00:00.186437
92	9	-1	0.0	0	0:00:00.186176
93	3	3	0.501	1	0:00:00.186538
94	1	7	0.00303	0	0:00:00.186919
95	4	6	0.293	0	0:00:00.186534
96	1	0	0.823	0	0:00:00.186180
97	7	7	0.953	1	0:00:00.185391
98	6	6	0.953	1	0:00:00.184655
99	9	7	0.79	0	0:00:00.185028
100	6	6	0.46	1	0:00:00.185045
101	0	7	0.404	0	0:00:00.183710
102	5	5	0.561	1	0:00:00.184386
103	4	4	0.953	1	0:00:00.184106
104	9	-1	0.0	0	0:00:00.183877
105	9	6	0.892	0	0:00:00.185603
106	2	7	0.418	0	0:00:00.184249
107	1	6	0.892	0	0:00:00.184345
108	9	7	0.312	0	0:00:00.184742
109	4	4	0.356	1	0:00:00.184000
110	8	6	0.935	0	0:00:00.184354
111	7	7	0.046	1	0:00:00.184554
112	3	3	0.953	1	0:00:00.185294
113	9	8	0.178	0	0:00:00.184799
114	7	7	0.831	1	0:00:00.184702
115	4	4	0.465	1	0:00:00.184186
116	4	4	0.892	1	0:00:00.184790
117	4	4	0.662	1	0:00:00.185052
118	9	8	0.136	0	0:00:00.184170
119	2	-1	0.0	0	0:00:00.184730
120	5	5	0.953	1	0:00:00.185483
121	4	2	0.877	0	0:00:00.184480
122	7	2	0.00836	0	0:00:00.186226
123	6	8	0.35	0	0:00:00.183925
124	7	7	0.953	1	0:00:00.183941
125	9	4	0.757	0	0:00:00.185150
126	0	0	0.953	1	0:00:00.184340
127	5	5	0.564	1	0:00:00.184594
128	8	8	0.953	1	0:00:00.184104
129	5	5	0.597	1	0:00:00.184110
130	6	6	0.65	1	0:00:00.183851
131	6	6	0.0602	1	0:00:00.184525
132	5	3	0.0982	0	0:00:00.185546
133	7	7	0.141	1	0:00:00.187497
134	8	8	0.342	1	0:00:00.184469
135	1	1	0.935	1	0:00:00.184269
136	0	6	0.768	0	0:00:00.186074
137	1	7	0.869	0	0:00:00.185256
138	6	2	0.953	0	0:00:00.186003
139	4	1	0.306	0	0:00:00.185639
140	6	6	0.953	1	0:00:00.183845
141	7	7	0.953	1	0:00:00.184656
142	3	3	0.667	1	0:00:00.184538
143	1	1	0.284	1	0:00:00.185397
144	7	-1	0.0	0	0:00:00.186788
145	1	4	0.385	0	0:00:00.183923
146	8	6	0.223	0	0:00:00.184575
147	2	2	0.905	1	0:00:00.185130
148	0	9	0.12	0	0:00:00.184729
149	2	9	0.687	0	0:00:00.184558
150	9	-1	0.0	0	0:00:00.184296
151	9	8	0.79	0	0:00:00.184278
152	5	5	0.576	1	0:00:00.185075
153	5	5	0.953	1	0:00:00.184072
154	1	1	0.741	1	0:00:00.184643
155	5	3	0.0767	0	0:00:00.184990
156	6	4	0.642	0	0:00:00.184588
157	0	0	0.394	1	0:00:00.184761
158	3	2	0.953	0	0:00:00.184645
159	4	4	0.653	1	0:00:00.185574
160	4	6	0.455	0	0:00:00.184284
161	6	2	0.554	0	0:00:00.184782
162	5	5	0.953	1	0:00:00.184125
163	4	4	0.953	1	0:00:00.183935
164	6	6	0.953	1	0:00:00.184633
165	5	2	0.397	0	0:00:00.184114
166	4	4	0.212	1	0:00:00.184628
167	5	2	0.237	0	0:00:00.184675
168	1	5	0.462	0	0:00:00.184043
169	4	4	0.807	1	0:00:00.184851
170	4	3	0.121	0	0:00:00.184997
171	7	7	0.913	1	0:00:00.184238
172	2	2	0.922	1	0:00:00.184932
173	3	2	0.403	0	0:00:00.184410
174	2	2	0.953	1	0:00:00.184243
175	7	1	0.311	0	0:00:00.183874
176	1	7	0.516	0	0:00:00.184494
177	8	8	0.811	1	0:00:00.184765
178	1	4	0.922	0	0:00:00.184960
179	8	2	0.684	0	0:00:00.184261
180	1	7	0.684	0	0:00:00.184562
181	8	8	0.0299	1	0:00:00.185323
182	5	5	0.785	1	0:00:00.184940
183	0	6	0.953	0	0:00:00.184387
184	8	8	0.0956	1	0:00:00.184759
185	9	4	0.953	0	0:00:00.184317
186	2	6	0.652	0	0:00:00.184138
187	5	5	0.953	1	0:00:00.184635
188	0	9	0.499	0	0:00:00.184344
189	1	5	0.422	0	0:00:00.184398
190	1	1	0.881	1	0:00:00.184124
191	1	0	0.589	0	0:00:00.184684
192	0	2	0.953	0	0:00:00.185226
193	9	7	0.402	0	0:00:00.184140
194	0	0	0.852	1	0:00:00.184184
195	3	5	0.475	0	0:00:00.184350
196	1	6	0.245	0	0:00:00.185764
197	6	6	0.953	1	0:00:00.184464
198	4	2	0.0192	0	0:00:00.184760
199	2	7	0.819	0	0:00:00.184528
200	3	3	0.0823	1	0:00:00.184756
201	6	4	0.847	0	0:00:00.184047
202	1	6	0.51	0	0:00:00.183994
203	1	7	0.589	0	0:00:00.184439
204	1	7	0.566	0	0:00:00.184527
205	3	3	0.682	1	0:00:00.184241
206	9	2	0.263	0	0:00:00.186308
207	5	5	0.641	1	0:00:00.183923
208	2	2	0.953	1	0:00:00.184256
209	9	9	0.299	1	0:00:00.184593
210	4	4	0.63	1	0:00:00.185102
211	5	5	0.816	1	0:00:00.183863
212	9	9	0.224	1	0:00:00.184028
213	3	7	0.394	0	0:00:00.183621
214	9	9	0.0245	1	0:00:00.184602
215	0	7	0.779	0	0:00:00.184397
216	3	3	0.935	1	0:00:00.184187
217	6	6	0.342	1	0:00:00.184067
218	5	8	0.0198	0	0:00:00.183814
219	5	5	0.169	1	0:00:00.184618
220	7	2	0.684	0	0:00:00.186498
