idx	label	predict	radius	correct	time
0	7	7	0.953	1	0:00:00.213536
1	2	2	0.953	1	0:00:00.186817
2	1	4	0.131	0	0:00:00.183697
3	0	0	0.953	1	0:00:00.183643
4	4	4	0.953	1	0:00:00.183884
5	1	1	0.505	1	0:00:00.183881
6	4	9	0.158	0	0:00:00.183882
7	9	9	0.953	1	0:00:00.183836
8	5	5	0.953	1	0:00:00.184033
9	9	9	0.842	1	0:00:00.184633
10	0	0	0.953	1	0:00:00.183979
11	6	6	0.953	1	0:00:00.183672
12	9	9	0.953	1	0:00:00.183990
13	0	0	0.953	1	0:00:00.183666
14	1	1	0.953	1	0:00:00.183627
15	5	5	0.605	1	0:00:00.183714
16	9	9	0.761	1	0:00:00.183844
17	7	7	0.542	1	0:00:00.183898
18	3	8	0.953	0	0:00:00.183701
19	4	4	0.438	1	0:00:00.183870
20	9	9	0.953	1	0:00:00.194952
21	6	6	0.953	1	0:00:00.184618
22	6	6	0.953	1	0:00:00.183801
23	5	5	0.953	1	0:00:00.183510
24	4	4	0.935	1	0:00:00.183688
25	0	0	0.953	1	0:00:00.183955
26	7	7	0.059	1	0:00:00.183736
27	4	4	0.953	1	0:00:00.183839
28	0	0	0.953	1	0:00:00.183869
29	1	1	0.847	1	0:00:00.183622
30	3	3	0.953	1	0:00:00.183986
31	1	1	0.953	1	0:00:00.183584
32	3	3	0.953	1	0:00:00.183874
33	4	4	0.55	1	0:00:00.183731
34	7	7	0.953	1	0:00:00.183784
35	2	2	0.953	1	0:00:00.183610
36	7	7	0.768	1	0:00:00.183489
37	1	1	0.46	1	0:00:00.183575
38	2	2	0.953	1	0:00:00.183524
39	1	1	0.913	1	0:00:00.183763
40	1	2	0.0283	0	0:00:00.183767
41	7	7	0.0789	1	0:00:00.183934
42	4	4	0.362	1	0:00:00.183743
43	2	2	0.953	1	0:00:00.183877
44	3	3	0.922	1	0:00:00.183993
45	5	5	0.953	1	0:00:00.183766
46	1	1	0.718	1	0:00:00.183704
47	2	2	0.953	1	0:00:00.183481
48	4	4	0.953	1	0:00:00.183704
49	4	4	0.953	1	0:00:00.183990
50	6	6	0.953	1	0:00:00.183761
51	3	3	0.953	1	0:00:00.183656
52	5	5	0.953	1	0:00:00.183621
53	5	5	0.773	1	0:00:00.183722
54	6	6	0.953	1	0:00:00.183658
55	0	0	0.953	1	0:00:00.183834
56	4	4	0.953	1	0:00:00.183691
57	1	1	0.24	1	0:00:00.183840
58	9	9	0.953	1	0:00:00.183682
59	5	5	0.953	1	0:00:00.183722
60	7	7	0.953	1	0:00:00.183882
61	8	8	0.953	1	0:00:00.183724
62	9	4	0.00747	0	0:00:00.183790
63	3	3	0.953	1	0:00:00.183649
64	7	7	0.953	1	0:00:00.183642
65	4	4	0.478	1	0:00:00.183736
66	6	6	0.953	1	0:00:00.183802
67	4	4	0.953	1	0:00:00.183722
68	3	3	0.953	1	0:00:00.183414
69	0	0	0.953	1	0:00:00.183698
70	7	7	0.953	1	0:00:00.184917
71	0	0	0.953	1	0:00:00.183923
72	2	2	0.953	1	0:00:00.183591
73	9	9	0.0625	1	0:00:00.183689
74	1	1	0.0987	1	0:00:00.183550
75	7	7	0.935	1	0:00:00.183719
76	3	3	0.858	1	0:00:00.183914
77	2	2	0.953	1	0:00:00.183416
78	9	9	0.534	1	0:00:00.183948
79	7	7	0.953	1	0:00:00.183725
80	7	7	0.953	1	0:00:00.183730
81	6	6	0.953	1	0:00:00.183768
